sepal_length,sepal_width,petal_length,petal_width,species
6.1,2.8,2.146896764603069,1.6,Iris-virginica
5.860676060004867,3.8,1.7,0.3,Iris-setosa
7.7,2.6,6.9,2.3,Iris-virginica
6.0,2.9215990599257826,4.5,1.1986666666666668,Iris-versicolor
5.7,2.8,4.8,1.6529444599043215,Iris-versicolor
5.4,3.4,1.5,0.4,Iris-setosa
5.6,3.2,3.6,1.1986666666666668,Iris-versicolor
6.9,3.287519956040531,3.4361545366705974,2.3,Iris-virginica
6.2,2.2793857530752097,3.758666666666666,1.5,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-setosa
5.843333333333334,3.2,5.1,3.48685955793988,Iris-virginica
4.8,4.0,1.4,0.026631231788559792,Iris-setosa
5.5,3.5,1.3,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.1,3.0540000000000003,1.5,0.3,Iris-setosa
6.3,3.3,4.7,1.6,Iris-versicolor
5.843333333333334,3.0,5.8,2.2,Iris-virginica
5.6,2.497990663953072,3.9,1.1,Iris-versicolor
6.8,2.8,2.358495102877167,0.9625035637594197,Iris-setosa
5.7,3.350317259040845,5.6,2.2,Iris-virginica
7.9,4.4,1.6,0.18133951690439076,Iris-setosa
6.1,3.0,4.9,0.6476865462081205,Iris-virginica
5.0,3.4,1.6,0.4,Iris-setosa
6.4,2.8,5.6,2.1,Iris-virginica
7.9,3.8,3.758666666666666,2.0,Iris-virginica
6.7,3.0,5.2,2.3,Iris-setosa
5.843333333333334,2.5,5.8,1.8,Iris-virginica
6.8,2.9,5.9,2.3,Iris-virginica
4.8,3.2,1.4,1.0,Iris-versicolor
4.8,3.1,4.6,0.2,Iris-setosa
4.626720072814981,3.6,3.758666666666666,0.2,Iris-setosa
5.503382579516214,4.4,1.5,0.4,Iris-setosa
6.7,3.1,5.276085628335974,1.4,Iris-versicolor
5.7,3.4,1.6,0.1,Iris-setosa
4.4,3.2,3.5,0.2,Iris-setosa
6.3,2.5,5.0,1.1986666666666668,Iris-setosa
6.4,3.2,3.758666666666666,1.5,Iris-versicolor
5.2,3.5,1.5,0.2,Iris-setosa
5.0,3.6,1.4,0.2,Iris-virginica
5.2,4.1,1.9617019904436597,0.1,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.0,3.4,4.6386071932907695,1.6,Iris-setosa
8.433728709198599,3.1,4.7,1.5,Iris-versicolor
5.4,3.9,5.4,0.7545367916120054,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa
5.41258316702489,2.4,3.7,1.0,Iris-setosa
6.3,2.8,5.1,1.5,Iris-setosa
6.4,3.1,5.5,1.1986666666666668,Iris-virginica
5.7,3.0,4.4,0.5,Iris-versicolor
7.2,3.0540000000000003,6.1,2.5,Iris-virginica
6.4,3.0540000000000003,4.2,1.3,Iris-versicolor
5.843333333333334,3.162659431265669,3.758666666666666,1.3,Iris-virginica
5.6,3.0,4.3,1.5,Iris-versicolor
5.1,3.5,1.4,0.2,Iris-setosa
7.7,2.8,4.8,2.0,Iris-virginica
5.8,2.7,4.1,1.0,Iris-setosa
5.2,3.4,5.555006803240592,0.2,Iris-setosa
5.0,3.5,1.3,0.3,Iris-setosa
5.1,4.36464257674478,1.9,2.0,Iris-setosa
5.0,2.0,3.5,1.0,Iris-versicolor
5.2,3.0540000000000003,4.9,1.2,Iris-versicolor
4.8,2.5822216997803435,1.9,0.2,Iris-versicolor
5.0,3.0,1.6,0.2,Iris-setosa
4.3,3.3,1.7,0.5,Iris-setosa
5.6,2.678921928309027,4.2,1.3,Iris-versicolor
5.1,3.4,1.5,0.2,Iris-versicolor
6.6,3.0,4.2,1.2,Iris-versicolor
7.7,3.8,5.615626709702269,2.2,Iris-versicolor
4.6,3.2,1.4,1.1,Iris-setosa
6.2,2.9,4.3,1.3,Iris-versicolor
6.9,2.5,5.0,1.1986666666666668,Iris-virginica
5.5,4.2,1.4,0.2,Iris-virginica
6.0,2.7,4.8,1.8,Iris-virginica
5.8,2.7,5.1,1.1986666666666668,Iris-virginica
6.0,2.2,4.0,1.0,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
6.467519839763427,3.4,1.3,2.3,Iris-setosa
6.5,2.3,7.610512380785631,1.3,Iris-setosa
5.4,3.0540000000000003,1.7,0.4,Iris-setosa
5.0,2.3,3.3,1.7666295998058628,Iris-setosa
5.843333333333334,2.7,5.3,1.9,Iris-virginica
5.283558688756464,3.0540000000000003,1.4,1.1977148829894761,Iris-setosa
6.278535124815246,3.2,1.2,0.2,Iris-setosa
5.843333333333334,2.4,3.8,1.1,Iris-versicolor
6.7,3.0,6.4,1.7,Iris-versicolor
4.9,3.6,1.5,-2.5616490725719316,Iris-setosa
5.8,2.8,5.1,2.4,Iris-virginica
5.0,3.4,1.5,0.2,Iris-setosa
5.0,3.5,1.6,1.1986666666666668,Iris-setosa
5.9,3.2,6.7,1.8,Iris-versicolor
5.532279301625524,2.980053332348876,1.6,1.4,Iris-versicolor
4.5,2.3,1.1251954371615431,1.4172006008814495,Iris-setosa
6.6,2.9,4.6,1.3,Iris-versicolor
4.65980676467082,2.6,4.4,1.2,Iris-versicolor
5.3,3.7,1.5,0.2,Iris-setosa
5.6,3.0,4.378493346551566,2.1,Iris-versicolor
7.3,3.7,1.5,1.891212020786437,Iris-versicolor
6.7,3.3,2.4405349342783795,2.1,Iris-setosa
5.1,2.9,1.5,0.4,Iris-setosa
6.1,2.4,4.9,0.3134590720278181,Iris-virginica
6.497867442719407,3.3,5.7,2.5,Iris-virginica
7.2,2.3,3.758666666666666,1.6,Iris-setosa
4.9,3.1,5.0845534437709095,0.1,Iris-setosa
6.7,2.7238524361890195,5.6,1.2,Iris-setosa
4.9,2.600333803522897,3.758666666666666,0.2,Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor
7.4,2.8,6.1,1.9,Iris-virginica
6.3,3.0540000000000003,5.6,1.8,Iris-setosa
5.7,2.8,5.1,1.3,Iris-versicolor
6.252552779914392,3.0,5.5,1.8,Iris-setosa
6.3,3.0,0.7031846810923836,1.3,Iris-virginica
6.4,2.9,4.9,1.3,Iris-virginica
5.6,2.8,4.9,0.4,Iris-virginica
5.9,3.0,5.1,1.8,Iris-virginica
5.4,3.4,1.7,0.2,Iris-setosa
5.843333333333334,2.2768655892500798,4.0,1.3,Iris-setosa
4.9,2.6857520672695125,4.5,2.4137816392524565,Iris-virginica
5.330670223681765,4.0,1.2,0.2,Iris-setosa
5.8,2.6,4.0,1.8,Iris-versicolor
5.936893421568368,3.3,5.9,1.6,Iris-virginica
