,synth,train,val,test,synth_value,real_value
0_0,0_0\synth.csv,0_0\train.csv,0_0\val.csv,0_0\test.csv,0.9419191919191919,0.9419191919191919
0_1,0_1\synth.csv,0_1\train.csv,0_1\val.csv,0_1\test.csv,0.9658994032395567,0.9658994032395567
0_2,0_2\synth.csv,0_2\train.csv,0_2\val.csv,0_2\test.csv,1.0,1.0
0_3,0_3\synth.csv,0_3\train.csv,0_3\val.csv,0_3\test.csv,0.9259259259259259,0.9259259259259259
0_4,0_4\synth.csv,0_4\train.csv,0_4\val.csv,0_4\test.csv,0.9073684210526315,0.9073684210526315
1_0,1_0\synth.csv,1_0\train.csv,1_0\val.csv,1_0\test.csv,0.9419191919191919,0.9419191919191919
1_1,1_1\synth.csv,1_1\train.csv,1_1\val.csv,1_1\test.csv,0.9658994032395567,0.9658994032395567
1_2,1_2\synth.csv,1_2\train.csv,1_2\val.csv,1_2\test.csv,0.919047619047619,1.0
1_3,1_3\synth.csv,1_3\train.csv,1_3\val.csv,1_3\test.csv,0.9259259259259259,0.9259259259259259
1_4,1_4\synth.csv,1_4\train.csv,1_4\val.csv,1_4\test.csv,0.8663180827886711,0.9073684210526315
2_0,2_0\synth.csv,2_0\train.csv,2_0\val.csv,2_0\test.csv,0.9419191919191919,0.9419191919191919
2_1,2_1\synth.csv,2_1\train.csv,2_1\val.csv,2_1\test.csv,0.9658994032395567,0.9658994032395567
2_2,2_2\synth.csv,2_2\train.csv,2_2\val.csv,2_2\test.csv,1.0,1.0
2_3,2_3\synth.csv,2_3\train.csv,2_3\val.csv,2_3\test.csv,0.9259259259259259,0.9259259259259259
2_4,2_4\synth.csv,2_4\train.csv,2_4\val.csv,2_4\test.csv,0.9073684210526315,0.9073684210526315
3_0,3_0\synth.csv,3_0\train.csv,3_0\val.csv,3_0\test.csv,0.9130434782608695,0.9419191919191919
3_1,3_1\synth.csv,3_1\train.csv,3_1\val.csv,3_1\test.csv,0.8222222222222223,0.9658994032395567
3_2,3_2\synth.csv,3_2\train.csv,3_2\val.csv,3_2\test.csv,0.9584859584859585,1.0
3_3,3_3\synth.csv,3_3\train.csv,3_3\val.csv,3_3\test.csv,0.890806100217865,0.9259259259259259
3_4,3_4\synth.csv,3_4\train.csv,3_4\val.csv,3_4\test.csv,0.734238310708899,0.9073684210526315
4_0,4_0\synth.csv,4_0\train.csv,4_0\val.csv,4_0\test.csv,0.9130434782608695,0.9419191919191919
4_1,4_1\synth.csv,4_1\train.csv,4_1\val.csv,4_1\test.csv,0.7888198757763975,0.9658994032395567
4_2,4_2\synth.csv,4_2\train.csv,4_2\val.csv,4_2\test.csv,0.7571428571428572,1.0
4_3,4_3\synth.csv,4_3\train.csv,4_3\val.csv,4_3\test.csv,0.8095238095238094,0.9259259259259259
4_4,4_4\synth.csv,4_4\train.csv,4_4\val.csv,4_4\test.csv,0.8216619981325864,0.9073684210526315
5_0,5_0\synth.csv,5_0\train.csv,5_0\val.csv,5_0\test.csv,0.8711111111111111,0.9419191919191919
5_1,5_1\synth.csv,5_1\train.csv,5_1\val.csv,5_1\test.csv,0.9296296296296296,0.9658994032395567
5_2,5_2\synth.csv,5_2\train.csv,5_2\val.csv,5_2\test.csv,0.9584859584859585,1.0
5_3,5_3\synth.csv,5_3\train.csv,5_3\val.csv,5_3\test.csv,0.890806100217865,0.9259259259259259
5_4,5_4\synth.csv,5_4\train.csv,5_4\val.csv,5_4\test.csv,0.8216619981325864,0.9073684210526315
6_0,6_0\synth.csv,6_0\train.csv,6_0\val.csv,6_0\test.csv,0.9419191919191919,0.9419191919191919
6_1,6_1\synth.csv,6_1\train.csv,6_1\val.csv,6_1\test.csv,0.9645191409897292,0.9658994032395567
6_2,6_2\synth.csv,6_2\train.csv,6_2\val.csv,6_2\test.csv,0.9584859584859585,1.0
6_3,6_3\synth.csv,6_3\train.csv,6_3\val.csv,6_3\test.csv,0.777516339869281,0.9259259259259259
6_4,6_4\synth.csv,6_4\train.csv,6_4\val.csv,6_4\test.csv,0.8663180827886711,0.9073684210526315
7_0,7_0\synth.csv,7_0\train.csv,7_0\val.csv,7_0\test.csv,0.9710144927536232,0.9419191919191919
7_1,7_1\synth.csv,7_1\train.csv,7_1\val.csv,7_1\test.csv,1.0,0.9658994032395567
7_2,7_2\synth.csv,7_2\train.csv,7_2\val.csv,7_2\test.csv,0.654320987654321,1.0
7_3,7_3\synth.csv,7_3\train.csv,7_3\val.csv,7_3\test.csv,0.8857142857142857,0.9259259259259259
7_4,7_4\synth.csv,7_4\train.csv,7_4\val.csv,7_4\test.csv,0.9373219373219372,0.9073684210526315
8_0,8_0\synth.csv,8_0\train.csv,8_0\val.csv,8_0\test.csv,0.882051282051282,0.9419191919191919
8_1,8_1\synth.csv,8_1\train.csv,8_1\val.csv,8_1\test.csv,1.0,0.9658994032395567
