,synth,train,val,test,synth_value,real_value
0_0,0_0\synth.csv,0_0\train.csv,0_0\val.csv,0_0\test.csv,0.4315535014644909,0.49584429115300654
0_1,0_1\synth.csv,0_1\train.csv,0_1\val.csv,0_1\test.csv,0.4584877369149867,0.5550571949534346
0_2,0_2\synth.csv,0_2\train.csv,0_2\val.csv,0_2\test.csv,0.34390314265315314,0.43746335318213414
0_3,0_3\synth.csv,0_3\train.csv,0_3\val.csv,0_3\test.csv,0.38835197877489236,0.48828567013740315
0_4,0_4\synth.csv,0_4\train.csv,0_4\val.csv,0_4\test.csv,0.4653574246597502,0.5189426691729323
1_0,1_0\synth.csv,1_0\train.csv,1_0\val.csv,1_0\test.csv,0.46317787516456566,0.49584429115300654
1_1,1_1\synth.csv,1_1\train.csv,1_1\val.csv,1_1\test.csv,0.39128212853005256,0.5550571949534346
1_2,1_2\synth.csv,1_2\train.csv,1_2\val.csv,1_2\test.csv,0.46135156571589214,0.43746335318213414
1_3,1_3\synth.csv,1_3\train.csv,1_3\val.csv,1_3\test.csv,0.43840624791498745,0.48828567013740315
1_4,1_4\synth.csv,1_4\train.csv,1_4\val.csv,1_4\test.csv,0.4055393156112308,0.5189426691729323
2_0,2_0\synth.csv,2_0\train.csv,2_0\val.csv,2_0\test.csv,0.4381445288476628,0.49584429115300654
2_1,2_1\synth.csv,2_1\train.csv,2_1\val.csv,2_1\test.csv,0.396491305047314,0.5550571949534346
2_2,2_2\synth.csv,2_2\train.csv,2_2\val.csv,2_2\test.csv,0.4283995394739586,0.43746335318213414
2_3,2_3\synth.csv,2_3\train.csv,2_3\val.csv,2_3\test.csv,0.4183821481124625,0.48828567013740315
2_4,2_4\synth.csv,2_4\train.csv,2_4\val.csv,2_4\test.csv,0.57141941506024,0.5189426691729323
3_0,3_0\synth.csv,3_0\train.csv,3_0\val.csv,3_0\test.csv,0.47837777828819933,0.49584429115300654
3_1,3_1\synth.csv,3_1\train.csv,3_1\val.csv,3_1\test.csv,0.45773545824602085,0.5550571949534346
3_2,3_2\synth.csv,3_2\train.csv,3_2\val.csv,3_2\test.csv,0.4422884604003172,0.43746335318213414
3_3,3_3\synth.csv,3_3\train.csv,3_3\val.csv,3_3\test.csv,0.4791874407571263,0.48828567013740315
3_4,3_4\synth.csv,3_4\train.csv,3_4\val.csv,3_4\test.csv,0.48410134770758245,0.5189426691729323
4_0,4_0\synth.csv,4_0\train.csv,4_0\val.csv,4_0\test.csv,0.46177853702517374,0.49584429115300654
4_1,4_1\synth.csv,4_1\train.csv,4_1\val.csv,4_1\test.csv,0.415149178870335,0.5550571949534346
4_2,4_2\synth.csv,4_2\train.csv,4_2\val.csv,4_2\test.csv,0.4687691013204367,0.43746335318213414
4_3,4_3\synth.csv,4_3\train.csv,4_3\val.csv,4_3\test.csv,0.40981905958864484,0.48828567013740315
4_4,4_4\synth.csv,4_4\train.csv,4_4\val.csv,4_4\test.csv,0.537998822303755,0.5189426691729323
