,synth,train,val,test,synth_value,real_value
0_0,0_0\synth.csv,0_0\train.csv,0_0\val.csv,0_0\test.csv,0.12306557044210975,0.13398266962982563
0_1,0_1\synth.csv,0_1\train.csv,0_1\val.csv,0_1\test.csv,0.13682093420376484,0.14154374891637833
0_2,0_2\synth.csv,0_2\train.csv,0_2\val.csv,0_2\test.csv,0.1347484180488281,0.14286326195897392
0_3,0_3\synth.csv,0_3\train.csv,0_3\val.csv,0_3\test.csv,0.15004938969164028,0.14403738191764737
0_4,0_4\synth.csv,0_4\train.csv,0_4\val.csv,0_4\test.csv,0.12720701310091775,0.13043268542686282
1_0,1_0\synth.csv,1_0\train.csv,1_0\val.csv,1_0\test.csv,0.13536272745044475,0.13398266962982563
1_1,1_1\synth.csv,1_1\train.csv,1_1\val.csv,1_1\test.csv,0.14011142092400253,0.14154374891637833
1_2,1_2\synth.csv,1_2\train.csv,1_2\val.csv,1_2\test.csv,0.14342699783414303,0.14286326195897392
1_3,1_3\synth.csv,1_3\train.csv,1_3\val.csv,1_3\test.csv,0.13667696982196575,0.14403738191764737
1_4,1_4\synth.csv,1_4\train.csv,1_4\val.csv,1_4\test.csv,0.13581485146620387,0.13043268542686282
2_0,2_0\synth.csv,2_0\train.csv,2_0\val.csv,2_0\test.csv,0.13214348445718938,0.13398266962982563
2_1,2_1\synth.csv,2_1\train.csv,2_1\val.csv,2_1\test.csv,0.1326392517502777,0.14154374891637833
2_2,2_2\synth.csv,2_2\train.csv,2_2\val.csv,2_2\test.csv,0.13654086101960483,0.14286326195897392
2_3,2_3\synth.csv,2_3\train.csv,2_3\val.csv,2_3\test.csv,0.12211774341553072,0.14403738191764737
2_4,2_4\synth.csv,2_4\train.csv,2_4\val.csv,2_4\test.csv,0.12723268435690582,0.13043268542686282
3_0,3_0\synth.csv,3_0\train.csv,3_0\val.csv,3_0\test.csv,0.11349841688664575,0.13398266962982563
3_1,3_1\synth.csv,3_1\train.csv,3_1\val.csv,3_1\test.csv,0.13084861960101513,0.14154374891637833
3_2,3_2\synth.csv,3_2\train.csv,3_2\val.csv,3_2\test.csv,0.1414948828487742,0.14286326195897392
3_3,3_3\synth.csv,3_3\train.csv,3_3\val.csv,3_3\test.csv,0.14326060975150745,0.14403738191764737
3_4,3_4\synth.csv,3_4\train.csv,3_4\val.csv,3_4\test.csv,0.1341761915198737,0.13043268542686282
4_0,4_0\synth.csv,4_0\train.csv,4_0\val.csv,4_0\test.csv,0.13402184458637068,0.13398266962982563
4_1,4_1\synth.csv,4_1\train.csv,4_1\val.csv,4_1\test.csv,0.14583910205976658,0.14154374891637833
4_2,4_2\synth.csv,4_2\train.csv,4_2\val.csv,4_2\test.csv,0.12656524008355263,0.14286326195897392
4_3,4_3\synth.csv,4_3\train.csv,4_3\val.csv,4_3\test.csv,0.1377215365450969,0.14403738191764737
4_4,4_4\synth.csv,4_4\train.csv,4_4\val.csv,4_4\test.csv,0.12664764731420897,0.13043268542686282
5_0,5_0\synth.csv,5_0\train.csv,5_0\val.csv,5_0\test.csv,0.1398423805839435,0.13398266962982563
5_1,5_1\synth.csv,5_1\train.csv,5_1\val.csv,5_1\test.csv,0.1351081873229778,0.14154374891637833
5_2,5_2\synth.csv,5_2\train.csv,5_2\val.csv,5_2\test.csv,0.1409215592623324,0.14286326195897392
5_3,5_3\synth.csv,5_3\train.csv,5_3\val.csv,5_3\test.csv,0.1330635733487977,0.14403738191764737
5_4,5_4\synth.csv,5_4\train.csv,5_4\val.csv,5_4\test.csv,0.12490697879616897,0.13043268542686282
6_0,6_0\synth.csv,6_0\train.csv,6_0\val.csv,6_0\test.csv,0.12540658181162878,0.13398266962982563
6_1,6_1\synth.csv,6_1\train.csv,6_1\val.csv,6_1\test.csv,0.12151922637633661,0.14154374891637833
6_2,6_2\synth.csv,6_2\train.csv,6_2\val.csv,6_2\test.csv,0.15060220066480046,0.14286326195897392
6_3,6_3\synth.csv,6_3\train.csv,6_3\val.csv,6_3\test.csv,0.1369618456417271,0.14403738191764737
6_4,6_4\synth.csv,6_4\train.csv,6_4\val.csv,6_4\test.csv,0.10421002931093559,0.13043268542686282
7_0,7_0\synth.csv,7_0\train.csv,7_0\val.csv,7_0\test.csv,0.13097662654918707,0.13398266962982563
7_1,7_1\synth.csv,7_1\train.csv,7_1\val.csv,7_1\test.csv,0.14074024766090387,0.14154374891637833
7_2,7_2\synth.csv,7_2\train.csv,7_2\val.csv,7_2\test.csv,0.14050531132403732,0.14286326195897392
7_3,7_3\synth.csv,7_3\train.csv,7_3\val.csv,7_3\test.csv,0.1223486855209619,0.14403738191764737
7_4,7_4\synth.csv,7_4\train.csv,7_4\val.csv,7_4\test.csv,0.1228705310370144,0.13043268542686282
8_0,8_0\synth.csv,8_0\train.csv,8_0\val.csv,8_0\test.csv,0.12797398885916456,0.13398266962982563
8_1,8_1\synth.csv,8_1\train.csv,8_1\val.csv,8_1\test.csv,0.12360073462844867,0.14154374891637833
8_2,8_2\synth.csv,8_2\train.csv,8_2\val.csv,8_2\test.csv,0.14710763274972594,0.14286326195897392
8_3,8_3\synth.csv,8_3\train.csv,8_3\val.csv,8_3\test.csv,0.1242016775634579,0.14403738191764737
8_4,8_4\synth.csv,8_4\train.csv,8_4\val.csv,8_4\test.csv,0.12817299970437745,0.13043268542686282
9_0,9_0\synth.csv,9_0\train.csv,9_0\val.csv,9_0\test.csv,0.11280964949657069,0.13398266962982563
9_1,9_1\synth.csv,9_1\train.csv,9_1\val.csv,9_1\test.csv,0.14479045237596044,0.14154374891637833
9_2,9_2\synth.csv,9_2\train.csv,9_2\val.csv,9_2\test.csv,0.1100377954468218,0.14286326195897392
9_3,9_3\synth.csv,9_3\train.csv,9_3\val.csv,9_3\test.csv,0.15100749262785507,0.14403738191764737
9_4,9_4\synth.csv,9_4\train.csv,9_4\val.csv,9_4\test.csv,0.12072657198546766,0.13043268542686282
10_0,10_0\synth.csv,10_0\train.csv,10_0\val.csv,10_0\test.csv,0.10633449439922715,0.13398266962982563
10_1,10_1\synth.csv,10_1\train.csv,10_1\val.csv,10_1\test.csv,0.13464067150041714,0.14154374891637833
10_2,10_2\synth.csv,10_2\train.csv,10_2\val.csv,10_2\test.csv,0.14170123265422552,0.14286326195897392
10_3,10_3\synth.csv,10_3\train.csv,10_3\val.csv,10_3\test.csv,0.11271618560675589,0.14403738191764737
10_4,10_4\synth.csv,10_4\train.csv,10_4\val.csv,10_4\test.csv,0.125685382232668,0.13043268542686282
11_0,11_0\synth.csv,11_0\train.csv,11_0\val.csv,11_0\test.csv,0.13151914957135047,0.13398266962982563
11_1,11_1\synth.csv,11_1\train.csv,11_1\val.csv,11_1\test.csv,0.11006547471890826,0.14154374891637833
