sepal_length,sepal_width,petal_length,petal_width,species
4.6,3.4,1.4,0.3,Iris-setosa
6.9,3.1,5.4,2.1,Iris-virginica
5.7,2.8,4.5,1.3,Iris-versicolor
4.6,3.4,1.4,0.3,Iris-setosa
6.6,2.9,4.6,1.3,Iris-versicolor
6.4,2.8,5.6,2.2,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
5.7,3.8,1.7,0.3,Iris-setosa
5.7,2.8,4.5,1.3,Iris-versicolor
5.0,3.4,1.6,0.4,Iris-setosa
7.4,2.8,6.1,1.9,Iris-virginica
5.4,3.0,4.5,1.5,Iris-versicolor
5.7,3.8,1.7,0.3,Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa
6.9,3.1,5.1,2.3,Iris-virginica
5.1,3.4,1.5,0.2,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa
6.6,2.9,4.6,1.3,Iris-versicolor
5.0,3.4,1.6,0.4,Iris-setosa
5.4,3.0,4.5,1.5,Iris-versicolor
6.9,3.1,5.1,2.3,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
4.3,3.0,1.1,0.1,Iris-setosa
6.4,2.8,5.6,2.2,Iris-virginica
5.4,3.0,4.5,1.5,Iris-versicolor
5.1,3.4,1.5,0.2,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa
6.6,2.9,4.6,1.3,Iris-versicolor
7.2,3.2,6.0,1.8,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
5.4,3.0,4.5,1.5,Iris-versicolor
5.0,3.4,1.6,0.4,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
7.2,3.2,6.0,1.8,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
7.2,3.2,6.0,1.8,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
5.1,3.4,1.5,0.2,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
7.2,3.2,6.0,1.8,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
4.6,3.4,1.4,0.3,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
7.4,2.8,6.1,1.9,Iris-virginica
5.4,3.0,4.5,1.5,Iris-versicolor
4.3,3.0,1.1,0.1,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa
6.6,2.9,4.6,1.3,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
7.2,3.2,6.0,1.8,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
4.6,3.4,1.4,0.3,Iris-setosa
7.4,2.8,6.1,1.9,Iris-virginica
4.8,3.0,1.4,0.1,Iris-setosa
7.2,3.2,6.0,1.8,Iris-virginica
5.4,3.0,4.5,1.5,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
6.0,2.2,5.0,1.5,Iris-virginica
5.4,3.0,4.5,1.5,Iris-versicolor
5.1,3.4,1.5,0.2,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa
6.0,2.2,5.0,1.5,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
5.7,3.8,1.7,0.3,Iris-setosa
6.9,3.1,5.4,2.1,Iris-virginica
4.3,3.0,1.1,0.1,Iris-setosa
5.4,3.0,4.5,1.5,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor
6.4,2.8,5.6,2.2,Iris-virginica
6.6,2.9,4.6,1.3,Iris-versicolor
6.9,3.1,5.4,2.1,Iris-virginica
7.2,3.2,6.0,1.8,Iris-virginica
5.4,3.0,4.5,1.5,Iris-versicolor
5.1,3.4,1.5,0.2,Iris-setosa
6.9,3.1,5.4,2.1,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
4.8,3.0,1.4,0.1,Iris-setosa
6.9,3.1,5.4,2.1,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
4.3,3.0,1.1,0.1,Iris-setosa
7.2,3.2,6.0,1.8,Iris-virginica
5.7,2.8,4.5,1.3,Iris-versicolor
7.4,2.8,6.1,1.9,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
5.7,3.8,1.7,0.3,Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa
5.4,3.0,4.5,1.5,Iris-versicolor
6.9,3.1,5.1,2.3,Iris-virginica
5.7,2.8,4.5,1.3,Iris-versicolor
4.8,3.0,1.4,0.1,Iris-setosa
6.0,2.2,5.0,1.5,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
5.0,3.4,1.6,0.4,Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa
6.4,2.8,5.6,2.2,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
4.6,3.4,1.4,0.3,Iris-setosa
6.9,3.1,5.1,2.3,Iris-virginica
4.6,3.4,1.4,0.3,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa
6.6,2.9,4.6,1.3,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor
6.9,3.1,5.4,2.1,Iris-virginica
5.4,3.0,4.5,1.5,Iris-versicolor
6.0,2.2,5.0,1.5,Iris-virginica
5.0,3.4,1.6,0.4,Iris-setosa
5.7,2.8,4.5,1.3,Iris-versicolor
5.7,3.8,1.7,0.3,Iris-setosa
6.9,3.1,5.1,2.3,Iris-virginica
