,synth,train,val,test,synth_value,real_value
0_0,0_0\synth.csv,0_0\train.csv,0_0\val.csv,0_0\test.csv,0.7586859305125558,0.9419191919191919
0_1,0_1\synth.csv,0_1\train.csv,0_1\val.csv,0_1\test.csv,0.8933333333333334,0.9658994032395567
0_2,0_2\synth.csv,0_2\train.csv,0_2\val.csv,0_2\test.csv,0.8722222222222221,1.0
0_3,0_3\synth.csv,0_3\train.csv,0_3\val.csv,0_3\test.csv,0.9259259259259259,0.9259259259259259
0_4,0_4\synth.csv,0_4\train.csv,0_4\val.csv,0_4\test.csv,0.7959401709401709,0.9073684210526315
1_0,1_0\synth.csv,1_0\train.csv,1_0\val.csv,1_0\test.csv,0.9039964866051823,0.9419191919191919
1_1,1_1\synth.csv,1_1\train.csv,1_1\val.csv,1_1\test.csv,0.8989820565907524,0.9658994032395567
1_2,1_2\synth.csv,1_2\train.csv,1_2\val.csv,1_2\test.csv,0.8318753142282552,1.0
1_3,1_3\synth.csv,1_3\train.csv,1_3\val.csv,1_3\test.csv,0.6945454545454547,0.9259259259259259
1_4,1_4\synth.csv,1_4\train.csv,1_4\val.csv,1_4\test.csv,0.7904761904761907,0.9073684210526315
2_0,2_0\synth.csv,2_0\train.csv,2_0\val.csv,2_0\test.csv,0.8674242424242425,0.9419191919191919
2_1,2_1\synth.csv,2_1\train.csv,2_1\val.csv,2_1\test.csv,0.861111111111111,0.9658994032395567
2_2,2_2\synth.csv,2_2\train.csv,2_2\val.csv,2_2\test.csv,0.9162257495590828,1.0
2_3,2_3\synth.csv,2_3\train.csv,2_3\val.csv,2_3\test.csv,0.8857142857142857,0.9259259259259259
2_4,2_4\synth.csv,2_4\train.csv,2_4\val.csv,2_4\test.csv,0.7268335529205094,0.9073684210526315
3_0,3_0\synth.csv,3_0\train.csv,3_0\val.csv,3_0\test.csv,0.8230769230769232,0.9419191919191919
3_1,3_1\synth.csv,3_1\train.csv,3_1\val.csv,3_1\test.csv,0.9658994032395567,0.9658994032395567
3_2,3_2\synth.csv,3_2\train.csv,3_2\val.csv,3_2\test.csv,0.9584859584859585,1.0
3_3,3_3\synth.csv,3_3\train.csv,3_3\val.csv,3_3\test.csv,0.9325660699062235,0.9259259259259259
3_4,3_4\synth.csv,3_4\train.csv,3_4\val.csv,3_4\test.csv,0.7853968253968254,0.9073684210526315
4_0,4_0\synth.csv,4_0\train.csv,4_0\val.csv,4_0\test.csv,0.8315083609201257,0.9419191919191919
4_1,4_1\synth.csv,4_1\train.csv,4_1\val.csv,4_1\test.csv,0.8993265993265993,0.9658994032395567
4_2,4_2\synth.csv,4_2\train.csv,4_2\val.csv,4_2\test.csv,0.9584859584859585,1.0
4_3,4_3\synth.csv,4_3\train.csv,4_3\val.csv,4_3\test.csv,0.9259259259259259,0.9259259259259259
4_4,4_4\synth.csv,4_4\train.csv,4_4\val.csv,4_4\test.csv,0.7849752586594692,0.9073684210526315
