,synth,train,val,test,synth_value,real_value
0_0,0_0/synth.csv,0_0/train.csv,0_0/val.csv,0_0/test.csv,0.4444444444444445,0.4122807017543859
0_1,0_1/synth.csv,0_1/train.csv,0_1/val.csv,0_1/test.csv,0.13333333333333333,0.09523809523809525
0_2,0_2/synth.csv,0_2/train.csv,0_2/val.csv,0_2/test.csv,0.2222222222222222,0.36700336700336694
0_3,0_3/synth.csv,0_3/train.csv,0_3/val.csv,0_3/test.csv,0.23333333333333336,0.6555555555555556
0_4,0_4/synth.csv,0_4/train.csv,0_4/val.csv,0_4/test.csv,0.3666666666666667,0.28571428571428575
1_0,1_0/synth.csv,1_0/train.csv,1_0/val.csv,1_0/test.csv,0.17777777777777778,0.38047138047138046
1_1,1_1/synth.csv,1_1/train.csv,1_1/val.csv,1_1/test.csv,0.23717948717948714,0.4814814814814814
1_2,1_2/synth.csv,1_2/train.csv,1_2/val.csv,1_2/test.csv,0.20634920634920637,0.3212121212121212
1_3,1_3/synth.csv,1_3/train.csv,1_3/val.csv,1_3/test.csv,0.3444444444444444,0.3945868945868945
1_4,1_4/synth.csv,1_4/train.csv,1_4/val.csv,1_4/test.csv,0.12962962962962962,0.3703703703703704
