,synth,train,val,test,synth_value,real_value
0_0,0_0/synth.csv,0_0/train.csv,0_0/val.csv,0_0/test.csv,0.056939501779359435,0.5958333333333333
0_1,0_1/synth.csv,0_1/train.csv,0_1/val.csv,0_1/test.csv,0.0,0.6262626262626263
0_2,0_2/synth.csv,0_2/train.csv,0_2/val.csv,0_2/test.csv,0.061068702290076333,0.597194388777555
0_3,0_3/synth.csv,0_3/train.csv,0_3/val.csv,0_3/test.csv,0.14715719063545152,0.5446808510638298
0_4,0_4/synth.csv,0_4/train.csv,0_4/val.csv,0_4/test.csv,0.028169014084507046,0.6270871985157699
1_0,1_0/synth.csv,1_0/train.csv,1_0/val.csv,1_0/test.csv,0.12794612794612795,0.6091954022988506
1_1,1_1/synth.csv,1_1/train.csv,1_1/val.csv,1_1/test.csv,0.22614840989399296,0.6170678336980306
1_2,1_2/synth.csv,1_2/train.csv,1_2/val.csv,1_2/test.csv,0.2088607594936709,0.632183908045977
1_3,1_3/synth.csv,1_3/train.csv,1_3/val.csv,1_3/test.csv,0.2251655629139073,0.5862068965517241
1_4,1_4/synth.csv,1_4/train.csv,1_4/val.csv,1_4/test.csv,0.13592233009708737,0.6839186691312384
