,synth,train,val,test,synth_value,real_value
0_0,0_0\synth.csv,0_0\train.csv,0_0\val.csv,0_0\test.csv,0.46946560958736505,0.49584429115300654
0_1,0_1\synth.csv,0_1\train.csv,0_1\val.csv,0_1\test.csv,0.5543393007274028,0.5629760811578994
0_2,0_2\synth.csv,0_2\train.csv,0_2\val.csv,0_2\test.csv,0.5032697173121753,0.4864045383411581
0_3,0_3\synth.csv,0_3\train.csv,0_3\val.csv,0_3\test.csv,0.5017566007214648,0.45152450610540273
0_4,0_4\synth.csv,0_4\train.csv,0_4\val.csv,0_4\test.csv,0.564575480461725,0.5638491302208116
1_0,1_0\synth.csv,1_0\train.csv,1_0\val.csv,1_0\test.csv,0.4508928928704621,0.49584429115300654
1_1,1_1\synth.csv,1_1\train.csv,1_1\val.csv,1_1\test.csv,0.4845162147793727,0.5629760811578994
1_2,1_2\synth.csv,1_2\train.csv,1_2\val.csv,1_2\test.csv,0.45118047218887564,0.4864045383411581
1_3,1_3\synth.csv,1_3\train.csv,1_3\val.csv,1_3\test.csv,0.41185589117753524,0.45152450610540273
1_4,1_4\synth.csv,1_4\train.csv,1_4\val.csv,1_4\test.csv,0.5088443952520897,0.5638491302208116
2_0,2_0\synth.csv,2_0\train.csv,2_0\val.csv,2_0\test.csv,0.5004688503038338,0.49584429115300654
2_1,2_1\synth.csv,2_1\train.csv,2_1\val.csv,2_1\test.csv,0.5152684742158425,0.5629760811578994
2_2,2_2\synth.csv,2_2\train.csv,2_2\val.csv,2_2\test.csv,0.4126689537092057,0.4864045383411581
2_3,2_3\synth.csv,2_3\train.csv,2_3\val.csv,2_3\test.csv,0.48887981859410434,0.45152450610540273
2_4,2_4\synth.csv,2_4\train.csv,2_4\val.csv,2_4\test.csv,0.5332035534108357,0.5638491302208116
3_0,3_0\synth.csv,3_0\train.csv,3_0\val.csv,3_0\test.csv,0.4252734422771187,0.49584429115300654
3_1,3_1\synth.csv,3_1\train.csv,3_1\val.csv,3_1\test.csv,0.5212828169715068,0.5629760811578994
3_2,3_2\synth.csv,3_2\train.csv,3_2\val.csv,3_2\test.csv,0.46674467856809904,0.4864045383411581
3_3,3_3\synth.csv,3_3\train.csv,3_3\val.csv,3_3\test.csv,0.507243757718141,0.45152450610540273
3_4,3_4\synth.csv,3_4\train.csv,3_4\val.csv,3_4\test.csv,0.5506059446724908,0.5638491302208116
4_0,4_0\synth.csv,4_0\train.csv,4_0\val.csv,4_0\test.csv,0.4783639221533438,0.49584429115300654
4_1,4_1\synth.csv,4_1\train.csv,4_1\val.csv,4_1\test.csv,0.4958312535817943,0.5629760811578994
4_2,4_2\synth.csv,4_2\train.csv,4_2\val.csv,4_2\test.csv,0.5003418640370622,0.4864045383411581
4_3,4_3\synth.csv,4_3\train.csv,4_3\val.csv,4_3\test.csv,0.516923640976345,0.45152450610540273
4_4,4_4\synth.csv,4_4\train.csv,4_4\val.csv,4_4\test.csv,0.4983153066090396,0.5638491302208116
5_0,5_0\synth.csv,5_0\train.csv,5_0\val.csv,5_0\test.csv,0.4781203644840008,0.49584429115300654
5_1,5_1\synth.csv,5_1\train.csv,5_1\val.csv,5_1\test.csv,0.5360125092691105,0.5629760811578994
5_2,5_2\synth.csv,5_2\train.csv,5_2\val.csv,5_2\test.csv,0.46065049515290407,0.4864045383411581
5_3,5_3\synth.csv,5_3\train.csv,5_3\val.csv,5_3\test.csv,0.4842822396655299,0.45152450610540273
5_4,5_4\synth.csv,5_4\train.csv,5_4\val.csv,5_4\test.csv,0.5485303036453932,0.5638491302208116
6_0,6_0\synth.csv,6_0\train.csv,6_0\val.csv,6_0\test.csv,0.44195828876520143,0.49584429115300654
6_1,6_1\synth.csv,6_1\train.csv,6_1\val.csv,6_1\test.csv,0.4877096123065419,0.5629760811578994
6_2,6_2\synth.csv,6_2\train.csv,6_2\val.csv,6_2\test.csv,0.44408172406468466,0.4864045383411581
