,synth,train,val,test,synth_value,real_value
0_0,0_0\synth.csv,0_0\train.csv,0_0\val.csv,0_0\test.csv,0.1229389023170172,0.12344080233006349
0_1,0_1\synth.csv,0_1\train.csv,0_1\val.csv,0_1\test.csv,0.1300637069502436,0.12823361288936397
0_2,0_2\synth.csv,0_2\train.csv,0_2\val.csv,0_2\test.csv,0.1382382632353596,0.13875749846794083
0_3,0_3\synth.csv,0_3\train.csv,0_3\val.csv,0_3\test.csv,0.13522714759587662,0.1376329516957765
0_4,0_4\synth.csv,0_4\train.csv,0_4\val.csv,0_4\test.csv,0.11989927476953033,0.11959854198619657
10_0,10_0\synth.csv,10_0\train.csv,10_0\val.csv,10_0\test.csv,0.12645638055010244,0.12344080233006349
10_1,10_1\synth.csv,10_1\train.csv,10_1\val.csv,10_1\test.csv,0.12679161604013456,0.12823361288936397
10_2,10_2\synth.csv,10_2\train.csv,10_2\val.csv,10_2\test.csv,0.13802542466453904,0.13875749846794083
10_3,10_3\synth.csv,10_3\train.csv,10_3\val.csv,10_3\test.csv,0.13286312962029112,0.1376329516957765
10_4,10_4\synth.csv,10_4\train.csv,10_4\val.csv,10_4\test.csv,0.11761765441749927,0.11959854198619657
11_0,11_0\synth.csv,11_0\train.csv,11_0\val.csv,11_0\test.csv,0.11866658442618228,0.12344080233006349
11_1,11_1\synth.csv,11_1\train.csv,11_1\val.csv,11_1\test.csv,0.1258654458773848,0.12823361288936397
11_2,11_2\synth.csv,11_2\train.csv,11_2\val.csv,11_2\test.csv,0.1407956936546898,0.13875749846794083
11_3,11_3\synth.csv,11_3\train.csv,11_3\val.csv,11_3\test.csv,0.14068519199905904,0.1376329516957765
11_4,11_4\synth.csv,11_4\train.csv,11_4\val.csv,11_4\test.csv,0.12024473563477844,0.11959854198619657
12_0,12_0\synth.csv,12_0\train.csv,12_0\val.csv,12_0\test.csv,0.12453363546874896,0.12344080233006349
12_1,12_1\synth.csv,12_1\train.csv,12_1\val.csv,12_1\test.csv,0.13053647353055742,0.12823361288936397
12_2,12_2\synth.csv,12_2\train.csv,12_2\val.csv,12_2\test.csv,0.13741720919737066,0.13875749846794083
12_3,12_3\synth.csv,12_3\train.csv,12_3\val.csv,12_3\test.csv,0.13378017647898144,0.1376329516957765
12_4,12_4\synth.csv,12_4\train.csv,12_4\val.csv,12_4\test.csv,0.11507200199042,0.11959854198619657
13_0,13_0\synth.csv,13_0\train.csv,13_0\val.csv,13_0\test.csv,0.12057371583599374,0.12344080233006349
13_1,13_1\synth.csv,13_1\train.csv,13_1\val.csv,13_1\test.csv,0.1273204111682097,0.12823361288936397
13_2,13_2\synth.csv,13_2\train.csv,13_2\val.csv,13_2\test.csv,0.13979430572563045,0.13875749846794083
13_3,13_3\synth.csv,13_3\train.csv,13_3\val.csv,13_3\test.csv,0.1401465680226892,0.1376329516957765
13_4,13_4\synth.csv,13_4\train.csv,13_4\val.csv,13_4\test.csv,0.1193206394228239,0.11959854198619657
14_0,14_0\synth.csv,14_0\train.csv,14_0\val.csv,14_0\test.csv,0.12185162136058914,0.12344080233006349
14_1,14_1\synth.csv,14_1\train.csv,14_1\val.csv,14_1\test.csv,0.1291430841666913,0.12823361288936397
14_2,14_2\synth.csv,14_2\train.csv,14_2\val.csv,14_2\test.csv,0.1387313810562909,0.13875749846794083
14_3,14_3\synth.csv,14_3\train.csv,14_3\val.csv,14_3\test.csv,0.13414346593459536,0.1376329516957765
14_4,14_4\synth.csv,14_4\train.csv,14_4\val.csv,14_4\test.csv,0.12238701124841245,0.11959854198619657
15_0,15_0\synth.csv,15_0\train.csv,15_0\val.csv,15_0\test.csv,0.12394983266426429,0.12344080233006349
15_1,15_1\synth.csv,15_1\train.csv,15_1\val.csv,15_1\test.csv,0.13339393281774325,0.12823361288936397
15_2,15_2\synth.csv,15_2\train.csv,15_2\val.csv,15_2\test.csv,0.1331455338190063,0.13875749846794083
15_3,15_3\synth.csv,15_3\train.csv,15_3\val.csv,15_3\test.csv,0.14132698384570586,0.1376329516957765
15_4,15_4\synth.csv,15_4\train.csv,15_4\val.csv,15_4\test.csv,0.11918721688656131,0.11959854198619657
16_0,16_0\synth.csv,16_0\train.csv,16_0\val.csv,16_0\test.csv,0.12580200589405366,0.12344080233006349
16_1,16_1\synth.csv,16_1\train.csv,16_1\val.csv,16_1\test.csv,0.1300269341819158,0.12823361288936397
16_2,16_2\synth.csv,16_2\train.csv,16_2\val.csv,16_2\test.csv,0.1356417046024151,0.13875749846794083
16_3,16_3\synth.csv,16_3\train.csv,16_3\val.csv,16_3\test.csv,0.13853246831197308,0.1376329516957765
16_4,16_4\synth.csv,16_4\train.csv,16_4\val.csv,16_4\test.csv,0.12265137806638904,0.11959854198619657
17_0,17_0\synth.csv,17_0\train.csv,17_0\val.csv,17_0\test.csv,0.12651672670777092,0.12344080233006349
17_1,17_1\synth.csv,17_1\train.csv,17_1\val.csv,17_1\test.csv,0.1258733161362975,0.12823361288936397
17_2,17_2\synth.csv,17_2\train.csv,17_2\val.csv,17_2\test.csv,0.13975871001596285,0.13875749846794083
17_3,17_3\synth.csv,17_3\train.csv,17_3\val.csv,17_3\test.csv,0.13901681791446763,0.1376329516957765
17_4,17_4\synth.csv,17_4\train.csv,17_4\val.csv,17_4\test.csv,0.12127129294611205,0.11959854198619657
18_0,18_0\synth.csv,18_0\train.csv,18_0\val.csv,18_0\test.csv,0.12806000864110467,0.12344080233006349
18_1,18_1\synth.csv,18_1\train.csv,18_1\val.csv,18_1\test.csv,0.12902354211354838,0.12823361288936397
18_2,18_2\synth.csv,18_2\train.csv,18_2\val.csv,18_2\test.csv,0.1394625178164658,0.13875749846794083
18_3,18_3\synth.csv,18_3\train.csv,18_3\val.csv,18_3\test.csv,0.1327548972570728,0.1376329516957765
18_4,18_4\synth.csv,18_4\train.csv,18_4\val.csv,18_4\test.csv,0.11801904692090326,0.11959854198619657
19_0,19_0\synth.csv,19_0\train.csv,19_0\val.csv,19_0\test.csv,0.12439779851386534,0.12344080233006349
19_1,19_1\synth.csv,19_1\train.csv,19_1\val.csv,19_1\test.csv,0.1265708984121907,0.12823361288936397
19_2,19_2\synth.csv,19_2\train.csv,19_2\val.csv,19_2\test.csv,0.142242131172163,0.13875749846794083
19_3,19_3\synth.csv,19_3\train.csv,19_3\val.csv,19_3\test.csv,0.13190915383708957,0.1376329516957765
19_4,19_4\synth.csv,19_4\train.csv,19_4\val.csv,19_4\test.csv,0.11767801163814551,0.11959854198619657
1_0,1_0\synth.csv,1_0\train.csv,1_0\val.csv,1_0\test.csv,0.1237428062623328,0.12344080233006349
1_1,1_1\synth.csv,1_1\train.csv,1_1\val.csv,1_1\test.csv,0.12769809228523887,0.12823361288936397
1_2,1_2\synth.csv,1_2\train.csv,1_2\val.csv,1_2\test.csv,0.1356759760883558,0.13875749846794083
1_3,1_3\synth.csv,1_3\train.csv,1_3\val.csv,1_3\test.csv,0.14102658198679152,0.1376329516957765
1_4,1_4\synth.csv,1_4\train.csv,1_4\val.csv,1_4\test.csv,0.1175854024641273,0.11959854198619657
20_0,20_0\synth.csv,20_0\train.csv,20_0\val.csv,20_0\test.csv,0.12501760809176765,0.12344080233006349
20_1,20_1\synth.csv,20_1\train.csv,20_1\val.csv,20_1\test.csv,0.12952383988032767,0.12823361288936397
20_2,20_2\synth.csv,20_2\train.csv,20_2\val.csv,20_2\test.csv,0.13790402459733042,0.13875749846794083
20_3,20_3\synth.csv,20_3\train.csv,20_3\val.csv,20_3\test.csv,0.14231422683852457,0.1376329516957765
20_4,20_4\synth.csv,20_4\train.csv,20_4\val.csv,20_4\test.csv,0.1148188356927059,0.11959854198619657
21_0,21_0\synth.csv,21_0\train.csv,21_0\val.csv,21_0\test.csv,0.12395396489493993,0.12344080233006349
21_1,21_1\synth.csv,21_1\train.csv,21_1\val.csv,21_1\test.csv,0.12442175415385948,0.12823361288936397
