,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
lct_gan_0_0,lct_gan_0_0\synth.csv,lct_gan_0_0\train.csv,lct_gan_0_0\val.csv,lct_gan_0_0\test.csv,0.42354378237066,0.4958442911530065,0.1423534286725088,0.0743506952476418,2.570835307164084,0.4387437794209693,0.5528993418580597,0.0,0.0,0.0,0.0
realtabformer_0_0,realtabformer_0_0\synth.csv,realtabformer_0_0\train.csv,realtabformer_0_0\val.csv,realtabformer_0_0\test.csv,0.4744685611993735,0.4958442911530065,0.0436099876681452,0.028144678335518,0.747213640062344,0.0,0.0,0.0,0.0,0.0,0.0
tab_ddpm_0_0,tab_ddpm_0_0\synth.csv,tab_ddpm_0_0\train.csv,tab_ddpm_0_0\val.csv,tab_ddpm_0_0\test.csv,0.4655825435708453,0.4958442911530065,0.0098584252683092,0.0318965738813067,0.699890536213771,0.0,0.0,0.0,0.0,0.0,0.0
tvae_0_0,tvae_0_0\synth.csv,tvae_0_0\train.csv,tvae_0_0\val.csv,tvae_0_0\test.csv,0.4476104847533419,0.4958442911530065,0.1180737733819772,0.0184488009869689,1.3014328772537345,0.0,0.0,0.0,0.0,0.0,0.0
lct_gan_1_0,lct_gan_1_0\synth.csv,lct_gan_1_0\train.csv,lct_gan_1_0\val.csv,lct_gan_1_0\test.csv,0.3202661481262333,0.5629760811578994,0.2795630498840144,0.1063478294394325,2.776551544501361,1.0203116457105554,0.6358364564367907,0.0,0.0,0.0,0.0
realtabformer_1_0,realtabformer_1_0\synth.csv,realtabformer_1_0\train.csv,realtabformer_1_0\val.csv,realtabformer_1_0\test.csv,0.4994592332614498,0.5629760811578994,0.0417748984319493,0.0274783457989564,0.7342060045313442,0.0,0.0,0.0,0.0,0.0,0.0
tab_ddpm_1_0,tab_ddpm_1_0\synth.csv,tab_ddpm_1_0\train.csv,tab_ddpm_1_0\val.csv,tab_ddpm_1_0\test.csv,0.5140708834174387,0.5629760811578994,0.022019171303803,0.035620518158686,0.4257962880635513,0.0,0.0,0.0,0.0,0.0,0.0
tvae_1_0,tvae_1_0\synth.csv,tvae_1_0\train.csv,tvae_1_0\val.csv,tvae_1_0\test.csv,0.3433293934747423,0.5629760811578994,0.1406992668233802,0.0372102063895957,0.9952942287719572,0.0,0.0,0.0,0.0,0.0,0.0
lct_gan_2_0,lct_gan_2_0\synth.csv,lct_gan_2_0\train.csv,lct_gan_2_0\val.csv,lct_gan_2_0\test.csv,0.3169412360423596,0.4864045383411581,0.1646373206592183,0.0747159894106459,1.8754420116460917,0.4304184616477037,0.5591597550683953,0.0,0.0,0.0,0.0
realtabformer_2_0,realtabformer_2_0\synth.csv,realtabformer_2_0\train.csv,realtabformer_2_0\val.csv,realtabformer_2_0\test.csv,0.4924884404432515,0.4864045383411581,0.0768955523307622,0.0222855141748271,0.4543894237017833,0.0,0.0,0.0,0.0,0.0,0.0
