,synth,train,val,test,synth_value,real_value
tvae_0,../tvae/contraceptive/0/synth.csv,../tvae/contraceptive/0/train.csv,../tvae/contraceptive/0/val.csv,../tvae/contraceptive/0/test.csv,0.4449111121711611,0.8331834912650348
tvae_1,../tvae/contraceptive/1/synth.csv,../tvae/contraceptive/1/train.csv,../tvae/contraceptive/1/val.csv,../tvae/contraceptive/1/test.csv,0.4308901071459199,0.9635887512239686
tvae_2,../tvae/contraceptive/2/synth.csv,../tvae/contraceptive/2/train.csv,../tvae/contraceptive/2/val.csv,../tvae/contraceptive/2/test.csv,0.3415360209033222,0.8485944377751101
tvae_3,../tvae/contraceptive/3/synth.csv,../tvae/contraceptive/3/train.csv,../tvae/contraceptive/3/val.csv,../tvae/contraceptive/3/test.csv,0.3915861665619443,0.948227504370792
tvae_4,../tvae/contraceptive/4/synth.csv,../tvae/contraceptive/4/train.csv,../tvae/contraceptive/4/val.csv,../tvae/contraceptive/4/test.csv,0.42413774477722743,0.8988613366493551
lct_gan_0,../lct_gan/contraceptive/0/synth.csv,../lct_gan/contraceptive/0/train.csv,../lct_gan/contraceptive/0/val.csv,../lct_gan/contraceptive/0/test.csv,0.32253994953742643,0.8331834912650348
lct_gan_1,../lct_gan/contraceptive/1/synth.csv,../lct_gan/contraceptive/1/train.csv,../lct_gan/contraceptive/1/val.csv,../lct_gan/contraceptive/1/test.csv,0.35237796979162445,0.9635887512239686
lct_gan_2,../lct_gan/contraceptive/2/synth.csv,../lct_gan/contraceptive/2/train.csv,../lct_gan/contraceptive/2/val.csv,../lct_gan/contraceptive/2/test.csv,0.32446829656131976,0.8485944377751101
lct_gan_3,../lct_gan/contraceptive/3/synth.csv,../lct_gan/contraceptive/3/train.csv,../lct_gan/contraceptive/3/val.csv,../lct_gan/contraceptive/3/test.csv,0.2562704471101418,0.948227504370792
lct_gan_4,../lct_gan/contraceptive/4/synth.csv,../lct_gan/contraceptive/4/train.csv,../lct_gan/contraceptive/4/val.csv,../lct_gan/contraceptive/4/test.csv,0.35784418216029157,0.8988613366493551
realtabformer_0,../realtabformer/contraceptive/0/synth.csv,../realtabformer/contraceptive/0/train.csv,../realtabformer/contraceptive/0/val.csv,../realtabformer/contraceptive/0/test.csv,0.42811147186147186,0.8331834912650348
realtabformer_1,../realtabformer/contraceptive/1/synth.csv,../realtabformer/contraceptive/1/train.csv,../realtabformer/contraceptive/1/val.csv,../realtabformer/contraceptive/1/test.csv,0.44413555194805193,0.9635887512239686
realtabformer_2,../realtabformer/contraceptive/2/synth.csv,../realtabformer/contraceptive/2/train.csv,../realtabformer/contraceptive/2/val.csv,../realtabformer/contraceptive/2/test.csv,0.48329820864067435,0.8485944377751101
realtabformer_3,../realtabformer/contraceptive/3/synth.csv,../realtabformer/contraceptive/3/train.csv,../realtabformer/contraceptive/3/val.csv,../realtabformer/contraceptive/3/test.csv,0.435237211752243,0.948227504370792
realtabformer_4,../realtabformer/contraceptive/4/synth.csv,../realtabformer/contraceptive/4/train.csv,../realtabformer/contraceptive/4/val.csv,../realtabformer/contraceptive/4/test.csv,0.4871849035347134,0.8988613366493551
tab_ddpm_0,../tab_ddpm/contraceptive/0/synth.csv,../tab_ddpm/contraceptive/0/train.csv,../tab_ddpm/contraceptive/0/val.csv,../tab_ddpm/contraceptive/0/test.csv,0.43483570999413157,0.8331834912650348
tab_ddpm_1,../tab_ddpm/contraceptive/1/synth.csv,../tab_ddpm/contraceptive/1/train.csv,../tab_ddpm/contraceptive/1/val.csv,../tab_ddpm/contraceptive/1/test.csv,0.4499836215932915,0.9635887512239686
tab_ddpm_2,../tab_ddpm/contraceptive/2/synth.csv,../tab_ddpm/contraceptive/2/train.csv,../tab_ddpm/contraceptive/2/val.csv,../tab_ddpm/contraceptive/2/test.csv,0.4667618231991626,0.8485944377751101
tab_ddpm_3,../tab_ddpm/contraceptive/3/synth.csv,../tab_ddpm/contraceptive/3/train.csv,../tab_ddpm/contraceptive/3/val.csv,../tab_ddpm/contraceptive/3/test.csv,0.4808199536047637,0.948227504370792
tab_ddpm_4,../tab_ddpm/contraceptive/4/synth.csv,../tab_ddpm/contraceptive/4/train.csv,../tab_ddpm/contraceptive/4/val.csv,../tab_ddpm/contraceptive/4/test.csv,0.4269465667729892,0.8988613366493551
