,synth,train,val,test,synth_value,real_value
tvae_0,../tvae/insurance/0/synth.csv,../tvae/insurance/0/train.csv,../tvae/insurance/0/val.csv,../tvae/insurance/0/test.csv,0.1181607161189212,0.13398266962982563
tvae_1,../tvae/insurance/1/synth.csv,../tvae/insurance/1/train.csv,../tvae/insurance/1/val.csv,../tvae/insurance/1/test.csv,0.12747974893853864,0.14154374891637833
tvae_2,../tvae/insurance/2/synth.csv,../tvae/insurance/2/train.csv,../tvae/insurance/2/val.csv,../tvae/insurance/2/test.csv,0.13513276502142046,0.142860043225167
tvae_3,../tvae/insurance/3/synth.csv,../tvae/insurance/3/train.csv,../tvae/insurance/3/val.csv,../tvae/insurance/3/test.csv,0.11182708152366483,0.14403738191764737
tvae_4,../tvae/insurance/4/synth.csv,../tvae/insurance/4/train.csv,../tvae/insurance/4/val.csv,../tvae/insurance/4/test.csv,0.1087826884308325,0.13051409269684777
lct_gan_0,../lct_gan/insurance/0/synth.csv,../lct_gan/insurance/0/train.csv,../lct_gan/insurance/0/val.csv,../lct_gan/insurance/0/test.csv,-0.20262432710991662,0.13398266962982563
lct_gan_1,../lct_gan/insurance/1/synth.csv,../lct_gan/insurance/1/train.csv,../lct_gan/insurance/1/val.csv,../lct_gan/insurance/1/test.csv,-0.05005832648277275,0.14154374891637833
lct_gan_2,../lct_gan/insurance/2/synth.csv,../lct_gan/insurance/2/train.csv,../lct_gan/insurance/2/val.csv,../lct_gan/insurance/2/test.csv,0.02429059191270766,0.142860043225167
lct_gan_3,../lct_gan/insurance/3/synth.csv,../lct_gan/insurance/3/train.csv,../lct_gan/insurance/3/val.csv,../lct_gan/insurance/3/test.csv,-0.13832254241134168,0.14403738191764737
lct_gan_4,../lct_gan/insurance/4/synth.csv,../lct_gan/insurance/4/train.csv,../lct_gan/insurance/4/val.csv,../lct_gan/insurance/4/test.csv,-0.2472370211404713,0.13051409269684777
realtabformer_0,../realtabformer/insurance/0/synth.csv,../realtabformer/insurance/0/train.csv,../realtabformer/insurance/0/val.csv,../realtabformer/insurance/0/test.csv,0.08888836476897954,0.13398266962982563
realtabformer_1,../realtabformer/insurance/1/synth.csv,../realtabformer/insurance/1/train.csv,../realtabformer/insurance/1/val.csv,../realtabformer/insurance/1/test.csv,0.09586841258468792,0.14154374891637833
realtabformer_2,../realtabformer/insurance/2/synth.csv,../realtabformer/insurance/2/train.csv,../realtabformer/insurance/2/val.csv,../realtabformer/insurance/2/test.csv,0.13696088240091298,0.142860043225167
realtabformer_3,../realtabformer/insurance/3/synth.csv,../realtabformer/insurance/3/train.csv,../realtabformer/insurance/3/val.csv,../realtabformer/insurance/3/test.csv,0.13920185667823293,0.14403738191764737
realtabformer_4,../realtabformer/insurance/4/synth.csv,../realtabformer/insurance/4/train.csv,../realtabformer/insurance/4/val.csv,../realtabformer/insurance/4/test.csv,0.09659133886856652,0.13051409269684777
tab_ddpm_0,../tab_ddpm/insurance/0/synth.csv,../tab_ddpm/insurance/0/train.csv,../tab_ddpm/insurance/0/val.csv,../tab_ddpm/insurance/0/test.csv,0.1317913059503476,0.13398266962982563
tab_ddpm_1,../tab_ddpm/insurance/1/synth.csv,../tab_ddpm/insurance/1/train.csv,../tab_ddpm/insurance/1/val.csv,../tab_ddpm/insurance/1/test.csv,0.14220894384231175,0.14154374891637833
tab_ddpm_2,../tab_ddpm/insurance/2/synth.csv,../tab_ddpm/insurance/2/train.csv,../tab_ddpm/insurance/2/val.csv,../tab_ddpm/insurance/2/test.csv,0.1440292241594966,0.142860043225167
tab_ddpm_3,../tab_ddpm/insurance/3/synth.csv,../tab_ddpm/insurance/3/train.csv,../tab_ddpm/insurance/3/val.csv,../tab_ddpm/insurance/3/test.csv,0.14378290185760545,0.14403738191764737
tab_ddpm_4,../tab_ddpm/insurance/4/synth.csv,../tab_ddpm/insurance/4/train.csv,../tab_ddpm/insurance/4/val.csv,../tab_ddpm/insurance/4/test.csv,0.12580806825486257,0.13051409269684777
