,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
lct_gan_0_0_0,lct_gan_0_0_0\synth.csv,lct_gan_0_0_0\train.csv,lct_gan_0_0_0\val.csv,lct_gan_0_0_0\test.csv,0.1788617886178861,0.941919191919192,0.6837676509557097,0.2359416304583365,3.861082927275767,0.6424757823758975,0.9999995213590536,0.1286330241956277,0.2813317776077186,0.0792659793265518,0.2334874014268285
realtabformer_0_0_0,realtabformer_0_0_0\synth.csv,realtabformer_0_0_0\train.csv,realtabformer_0_0_0\val.csv,realtabformer_0_0_0\test.csv,0.5110689437065149,0.941919191919192,0.1989688157084326,0.0974586079723791,2.211014821021521,0.1749975682896197,0.3710111812458126,0.1286330241956277,0.2813317776077186,0.140052632374484,0.2946047466763729
tab_ddpm_0_0_0,tab_ddpm_0_0_0\synth.csv,tab_ddpm_0_0_0\train.csv,tab_ddpm_0_0_0\val.csv,tab_ddpm_0_0_0\test.csv,0.8665223665223665,0.941919191919192,0.0612883062461681,0.0325081684048282,1.0466144834772584,0.0640988558861151,0.2656758244052558,0.1286330241956277,0.2813317776077186,0.0368643958901428,0.3474327319753674
tvae_0_0_0,tvae_0_0_0\synth.csv,tvae_0_0_0\train.csv,tvae_0_0_0\val.csv,tvae_0_0_0\test.csv,0.9329819938515592,0.941919191919192,0.0344683602326241,0.0513134275487615,0.4155981113289878,0.1590248270398176,0.4308176136436087,0.1286330241956277,0.2813317776077186,0.1467156118751235,0.4891816945490546
lct_gan_0_1_0,lct_gan_0_1_0\synth.csv,lct_gan_0_1_0\train.csv,lct_gan_0_1_0\val.csv,lct_gan_0_1_0\test.csv,0.1788617886178861,0.9658994032395568,0.6837676509557097,0.2420429656454761,3.50235377535589,1.4116605798093051,0.9999816329710554,0.12189690866761,0.3459974619303256,0.1415608512552551,0.4216779371555603
realtabformer_0_1_0,realtabformer_0_1_0\synth.csv,realtabformer_0_1_0\train.csv,realtabformer_0_1_0\val.csv,realtabformer_0_1_0\test.csv,0.6951638355147126,0.9658994032395568,0.1488144471506026,0.0756275262297901,2.3489256977138284,0.1673648996386825,0.4624286362796503,0.12189690866761,0.3459974619303256,0.1625585139700924,0.3040199057122483
tab_ddpm_0_1_0,tab_ddpm_0_1_0\synth.csv,tab_ddpm_0_1_0\train.csv,tab_ddpm_0_1_0\val.csv,tab_ddpm_0_1_0\test.csv,0.9312169312169312,0.9658994032395568,0.0463555846230157,0.0274364297656138,0.3239885216737968,0.0571589520379448,0.1546680789700981,0.12189690866761,0.3459974619303256,0.0403916927503057,0.1648814606178731
tvae_0_1_0,tvae_0_1_0\synth.csv,tvae_0_1_0\train.csv,tvae_0_1_0\val.csv,tvae_0_1_0\test.csv,0.9658994032395568,0.9658994032395568,0.0445320877529142,0.0551795586933475,0.7124280375645725,0.167706133494671,0.3709906043061202,0.12189690866761,0.3459974619303256,0.2268667407617656,0.4171148236196076
lct_gan_0_2_0,lct_gan_0_2_0\synth.csv,lct_gan_0_2_0\train.csv,lct_gan_0_2_0\val.csv,lct_gan_0_2_0\test.csv,0.1666666666666666,1.0,0.6776045432457228,0.2379642992229425,3.254515830288076,1.122077336303456,0.999991865529002,0.1315341215921004,0.3231954438095035,0.1422050441039614,0.2871813493113375
realtabformer_0_2_0,realtabformer_0_2_0\synth.csv,realtabformer_0_2_0\train.csv,realtabformer_0_2_0\val.csv,realtabformer_0_2_0\test.csv,0.4425675675675675,1.0,0.2114941142502798,0.0855401899744572,2.228524742491413,0.1749164749905973,0.3299804611854905,0.1315341215921004,0.3231954438095035,0.2227905682260286,0.3796670139352962
tab_ddpm_0_2_0,tab_ddpm_0_2_0\synth.csv,tab_ddpm_0_2_0\train.csv,tab_ddpm_0_2_0\val.csv,tab_ddpm_0_2_0\test.csv,0.9584859584859584,1.0,0.0425765628024519,0.0220451600802575,0.1381850707267891,0.040669942578635,0.2383005012299446,0.1315341215921004,0.3231954438095035,0.0366598267522036,0.3617265917085346
tvae_0_2_0,tvae_0_2_0\synth.csv,tvae_0_2_0\train.csv,tvae_0_2_0\val.csv,tvae_0_2_0\test.csv,0.8817235396182764,1.0,0.0876042614613657,0.0613830132568004,0.6521023339872057,0.2063999395831093,0.4778665107246843,0.1315341215921004,0.3231954438095035,0.267682443007354,0.4093737262483505
lct_gan_0_3_0,lct_gan_0_3_0\synth.csv,lct_gan_0_3_0\train.csv,lct_gan_0_3_0\val.csv,lct_gan_0_3_0\test.csv,0.1666666666666666,0.925925925925926,0.6776045432457228,0.22431813421522,3.978710468068704,0.662326851957411,0.999966638284668,0.1302991515551109,0.4320354547813144,0.0735500318731623,0.3836332575985045
realtabformer_0_3_0,realtabformer_0_3_0\synth.csv,realtabformer_0_3_0\train.csv,realtabformer_0_3_0\val.csv,realtabformer_0_3_0\test.csv,0.4649275362318841,0.925925925925926,0.2404855600889015,0.0841788292529817,2.249673795074945,0.234450432067022,0.4201818892021642,0.1302991515551109,0.4320354547813144,0.1115309070144128,0.3258062358895497
