,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,-0.2026243271099166,0.1339826696298256,,,,,,,,,
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,-0.0500583264827727,0.1415437489163783,,,,,,,,,
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.0242905919127076,0.142860043225167,,,,,,,,,
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,-0.1383225424113416,0.1440373819176473,,,,,,,,,
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,-0.2472370211404713,0.1305140926968477,,,,,,,,,
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,-0.20262432710991662,0.13398266962982563,0.22762710908782072,0.10045549554698013,2.0362078584531043,0.517835953737782,0.6021865151504138,0.09130767063792977,0.24633357080973978,1.3909018381497162e-10,0.026448974772688923
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,-0.05005832648277275,0.14154374891637833,0.34831209895453236,0.07985562188412333,1.9782990581753421,0.4648668986594117,0.56397439403544,0.08166376557959076,0.22431853633651205,8.356042068953518e-06,0.03417285072031975
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.02429059191270766,0.142860043225167,0.09377329649703083,0.07153002779676376,1.385340535651607,0.32613304000515586,0.6269902032270769,0.08570482848700434,0.2175863521008934,1.3030355971722787e-05,0.025774814123691526
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,-0.13832254241134168,0.14403738191764737,0.14041897104985493,0.12222647097616128,2.0081144546268037,0.47235340847782914,0.6729015066772295,0.08949106528440576,0.2628329164779755,5.977338624096984e-10,0.04369251713098723
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,-0.2472370211404713,0.13051409269684777,0.3147249234387501,0.10093541775565143,2.3856396270462628,0.3693893205441596,0.585463994236786,0.09075478109033544,0.2358448385203547,0.0,
