,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.0888883647689795,0.1339826696298256,,,,,,,,,
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.0958684125846879,0.1415437489163783,,,,,,,,,
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.1369608824009129,0.142860043225167,,,,,,,,,
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.1392018566782329,0.1440373819176473,,,,,,,,,
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.0965913388685665,0.1305140926968477,,,,,,,,,
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.08888836476897954,0.13398266962982563,0.0883430294771586,0.031242443240554172,0.3012993223370413,0.07856723423874723,0.16400795435960727,0.09130767063792977,0.24633357080973978,0.08512233505578057,0.2583577613687297
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.09586841258468792,0.14154374891637833,0.07865415417968984,0.022211640325879425,0.32053975589181005,0.06949580159093299,,0.08166376557959076,0.22431853633651205,0.0645641991544384,0.2145413813820817
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.13696088240091298,0.142860043225167,0.06613663887602629,0.024443771250342056,0.23362554082681714,0.0737559946538481,,0.08570482848700434,0.2175863521008934,0.08615606421077537,0.256219044976012
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.13920185667823293,0.14403738191764737,0.050751875390900335,0.02098788934699607,0.168027093727536,0.05926290776657375,0.16358631288121342,0.08949106528440576,0.2628329164779755,0.06013495452392383,0.18027586435909304
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.09659133886856652,0.13051409269684777,0.06646333543339424,0.027861013609758387,0.2258007792692794,0.07552931329790738,0.20466070333428923,0.09075478109033544,0.2358448385203547,0.0722454385630387,0.24504869525030376
