,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.5862068965517241,0.6454183266932271,,,,,,,,,
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.5234899328859061,0.6035502958579881,,,,,,,,,
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.6417582417582418,0.5750528541226215,,,,,,,,,
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.5805084745762712,0.625,,,,,,,,,
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.6153846153846154,0.6612244897959185,,,,,,,,,
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.5862068965517241,0.6454183266932271,0.014067679732270404,0.010824527014782133,1.580270217189865,0.43990611422344905,0.5915188001836273,0.398074352757757,0.5208718334592021,0.346222798061524,
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.5234899328859061,0.6035502958579881,0.014243046582439346,0.007592824770029096,0.8300211577019783,0.43596153574325963,0.5905679396544439,0.40128924480244493,0.5217034059483369,0.3561463850565624,
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.6417582417582418,0.5750528541226215,0.015215761143794956,0.011117716822673308,1.3106517445450567,0.438574803212109,0.5929507816409194,0.391240014065082,0.4975527914636806,0.31334425882182815,
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.5805084745762712,0.625,0.017950977639505754,0.010889222163832833,1.6069462772273153,0.43566245767559053,0.6016016569895928,0.40578234191037704,0.5144504354962349,0.3377975342798427,
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.6153846153846154,0.6612244897959185,0.010680836780370788,0.011228316679562731,1.5271518984287824,0.43416269604183694,0.5945455743992035,0.39968857645640016,0.5212078162604378,0.323137452693921,
