,synth,train,val,test,synth_value,real_value
tvae_0,../tvae/treatment/0/synth.csv,../tvae/treatment/0/train.csv,../tvae/treatment/0/val.csv,../tvae/treatment/0/test.csv,0.5425742574257426,0.6404715127701376
tvae_1,../tvae/treatment/1/synth.csv,../tvae/treatment/1/train.csv,../tvae/treatment/1/val.csv,../tvae/treatment/1/test.csv,0.49074074074074076,0.5714285714285714
tvae_2,../tvae/treatment/2/synth.csv,../tvae/treatment/2/train.csv,../tvae/treatment/2/val.csv,../tvae/treatment/2/test.csv,0.5417607223476298,0.5478841870824054
tvae_3,../tvae/treatment/3/synth.csv,../tvae/treatment/3/train.csv,../tvae/treatment/3/val.csv,../tvae/treatment/3/test.csv,0.39583333333333337,0.5974025974025974
tvae_4,../tvae/treatment/4/synth.csv,../tvae/treatment/4/train.csv,../tvae/treatment/4/val.csv,../tvae/treatment/4/test.csv,0.5134474327628362,0.6143790849673202
lct_gan_0,../lct_gan/treatment/0/synth.csv,../lct_gan/treatment/0/train.csv,../lct_gan/treatment/0/val.csv,../lct_gan/treatment/0/test.csv,0.47892720306513414,0.6404715127701376
lct_gan_1,../lct_gan/treatment/1/synth.csv,../lct_gan/treatment/1/train.csv,../lct_gan/treatment/1/val.csv,../lct_gan/treatment/1/test.csv,0.32989690721649484,0.5714285714285714
lct_gan_2,../lct_gan/treatment/2/synth.csv,../lct_gan/treatment/2/train.csv,../lct_gan/treatment/2/val.csv,../lct_gan/treatment/2/test.csv,0.5761047463175123,0.5478841870824054
lct_gan_3,../lct_gan/treatment/3/synth.csv,../lct_gan/treatment/3/train.csv,../lct_gan/treatment/3/val.csv,../lct_gan/treatment/3/test.csv,0.42641509433962266,0.5974025974025974
lct_gan_4,../lct_gan/treatment/4/synth.csv,../lct_gan/treatment/4/train.csv,../lct_gan/treatment/4/val.csv,../lct_gan/treatment/4/test.csv,0.3816091954022989,0.6143790849673202
realtabformer_0,../realtabformer/treatment/0/synth.csv,../realtabformer/treatment/0/train.csv,../realtabformer/treatment/0/val.csv,../realtabformer/treatment/0/test.csv,0.6331471135940411,0.6404715127701376
realtabformer_1,../realtabformer/treatment/1/synth.csv,../realtabformer/treatment/1/train.csv,../realtabformer/treatment/1/val.csv,../realtabformer/treatment/1/test.csv,0.6424682395644283,0.5714285714285714
realtabformer_2,../realtabformer/treatment/2/synth.csv,../realtabformer/treatment/2/train.csv,../realtabformer/treatment/2/val.csv,../realtabformer/treatment/2/test.csv,0.6215644820295982,0.5478841870824054
realtabformer_3,../realtabformer/treatment/3/synth.csv,../realtabformer/treatment/3/train.csv,../realtabformer/treatment/3/val.csv,../realtabformer/treatment/3/test.csv,0.5611814345991561,0.5974025974025974
realtabformer_4,../realtabformer/treatment/4/synth.csv,../realtabformer/treatment/4/train.csv,../realtabformer/treatment/4/val.csv,../realtabformer/treatment/4/test.csv,0.6349892008639307,0.6143790849673202
tab_ddpm_0,../tab_ddpm/treatment/0/synth.csv,../tab_ddpm/treatment/0/train.csv,../tab_ddpm/treatment/0/val.csv,../tab_ddpm/treatment/0/test.csv,0.5023474178403756,0.6404715127701376
tab_ddpm_1,../tab_ddpm/treatment/1/synth.csv,../tab_ddpm/treatment/1/train.csv,../tab_ddpm/treatment/1/val.csv,../tab_ddpm/treatment/1/test.csv,0.5578512396694215,0.5714285714285714
tab_ddpm_2,../tab_ddpm/treatment/2/synth.csv,../tab_ddpm/treatment/2/train.csv,../tab_ddpm/treatment/2/val.csv,../tab_ddpm/treatment/2/test.csv,0.5269978401727862,0.5478841870824054
tab_ddpm_3,../tab_ddpm/treatment/3/synth.csv,../tab_ddpm/treatment/3/train.csv,../tab_ddpm/treatment/3/val.csv,../tab_ddpm/treatment/3/test.csv,0.5535714285714286,0.5974025974025974
tab_ddpm_4,../tab_ddpm/treatment/4/synth.csv,../tab_ddpm/treatment/4/train.csv,../tab_ddpm/treatment/4/val.csv,../tab_ddpm/treatment/4/test.csv,0.5382830626450116,0.6143790849673202
