,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.1181607161189212,0.1339826696298256,,,,,,,,,
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.1274797489385386,0.1415437489163783,,,,,,,,,
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.1351327650214204,0.142860043225167,,,,,,,,,
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.1118270815236648,0.1440373819176473,,,,,,,,,
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.1087826884308325,0.1305140926968477,,,,,,,,,
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.1181607161189212,0.13398266962982563,0.06349741529272673,0.02390869294003884,1.3863101030945875,0.14923815594849005,0.3637739106697163,0.09130767063792977,0.24633357080973978,0.1347512591371456,0.35060726466173964
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.12747974893853864,0.14154374891637833,0.050316975738183715,0.029302966731838295,1.0425066926366293,0.1586331101216104,0.3917316371532913,0.08166376557959076,0.22431853633651205,0.09125163378345544,0.36582631106436586
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.13513276502142046,0.142860043225167,0.09353458648859288,0.04011440748188254,1.3944770881800042,0.16240407245209232,0.3699261664184279,0.08570482848700434,0.2175863521008934,0.08898208426686471,0.32050759188043426
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.11182708152366483,0.14403738191764737,0.12243943394974947,0.032795156898966296,1.5647683892325182,0.16160719715414104,0.393604388581595,0.08949106528440576,0.2628329164779755,0.09053725566986857,0.38154521873007863
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.1087826884308325,0.13051409269684777,0.08600032561229431,0.03923480831139693,1.5854556822410335,0.17066464549280824,0.3968721599079002,0.09075478109033544,0.2358448385203547,0.09284107287464126,0.3975889537288157
