,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.6036217303822938,0.6454183266932271,,,,,,,,,
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.521186440677966,0.6035502958579881,,,,,,,,,
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.5948275862068967,0.5750528541226215,,,,,,,,,
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.5069767441860465,0.625,,,,,,,,,
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.5535714285714286,0.6612244897959185,,,,,,,,,
0,0/synth.csv,0/train.csv,0/val.csv,0/test.csv,0.6036217303822938,0.6454183266932271,0.042528319105881285,0.014698869619514283,0.7558615134696052,0.5550216092549731,0.677663357710855,0.398074352757757,0.5208718334592021,0.6094414132050051,0.667363977150466
1,1/synth.csv,1/train.csv,1/val.csv,1/test.csv,0.521186440677966,0.6035502958579881,0.03326772230445156,0.013435558305572387,0.8969037634203966,0.5526373027000787,0.6641262594604942,0.40128924480244493,0.5217034059483369,0.6047906063057314,0.6865233667374216
2,2/synth.csv,2/train.csv,2/val.csv,2/test.csv,0.5948275862068967,0.5750528541226215,0.03818361537184189,0.014318065029255176,1.1302537141408826,0.5496111377194529,0.6693063609647051,0.391240014065082,0.4975527914636806,0.624386613307453,0.6851431879628662
3,3/synth.csv,3/train.csv,3/val.csv,3/test.csv,0.5069767441860465,0.625,0.07738238455352223,0.01386446781576888,0.8782792390933963,0.5255790844531263,0.6715878017091902,0.40578234191037704,0.5144504354962349,0.5545497920632383,0.6773152629624312
4,4/synth.csv,4/train.csv,4/val.csv,4/test.csv,0.5535714285714286,0.6612244897959185,0.04994139663153374,0.016818988610325658,0.9880841954530776,0.5411377046608202,0.6731568432701197,0.39968857645640016,0.5212078162604378,0.6067848833319496,0.6633020666923161
