,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,0.19437751004016066,0.49584429115300654,0.41672839289782637,0.21231430076849925,3.4069590950407775,1.7986800238226759,1.0,0.0,0.0,0.0,0.0
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,0.20440251572327042,0.5550571949534346,0.38417950903014225,0.2346727452643483,3.5189525720579877,1.5313219012382047,1.0,0.0,0.0,0.0,0.0
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,0.18861788617886177,0.43746335318213414,0.4085512319068124,0.2350255095484103,3.684022028687507,1.658231647061369,1.0,0.0,0.0,0.0,0.0
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,0.21712538226299694,0.48828567013740315,0.3846030893900191,0.22215732387488113,3.7154940785595554,1.3873741245825317,1.0,0.12317923819397492,0.1181055293682034,0.0,0.0
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,0.192090395480226,0.5189426691729323,0.4169154978221531,0.2318700807250426,3.7766200926804947,2.543082621682272,1.0,0.0,0.0,0.0,0.0
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.19437751004016066,0.49584429115300654,0.38034648348656697,0.190078263551546,2.6190984878170696,1.3043442302831179,0.7523284189132531,0.0,0.0,0.0,0.0
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,0.12968036529680366,0.5550571949534346,0.42289146510022607,0.19914186393194028,3.4173882802938937,2.0512460596643085,1.0,0.0,0.0,0.0,0.0
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.18861788617886177,0.43746335318213414,0.38365619657876365,0.20403333590356493,2.5405266944553997,1.1984975898672452,0.7395183866638365,0.0,0.0,0.0,0.0
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.28184977834204805,0.48828567013740315,0.4068488845574338,0.20591538797645667,3.0015718680841177,1.0961185256363375,1.0,0.12317923819397492,0.1181055293682034,0.0,0.0
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.192090395480226,0.5189426691729323,0.4169154978221531,0.2242040684788776,3.436393513755048,2.1402607398404503,1.0,0.0,0.0,0.0,0.0
2_0_0,2_0_0\synth.csv,2_0_0\train.csv,2_0_0\val.csv,2_0_0\test.csv,0.3282599992721185,0.49584429115300654,0.24882621349184716,0.11372696429948337,3.7368025670394953,0.9728744261456308,0.8876082754066328,0.0,0.0,0.0,0.0
2_1_0,2_1_0\synth.csv,2_1_0\train.csv,2_1_0\val.csv,2_1_0\test.csv,0.334054834054834,0.5550571949534346,0.38270034969577293,0.17817391471971625,3.2345623679287723,1.6125104569549784,0.7513677227395682,0.0,0.0,0.0,0.0
2_2_0,2_2_0\synth.csv,2_2_0\train.csv,2_2_0\val.csv,2_2_0\test.csv,0.18861788617886177,0.43746335318213414,0.38035984456620336,0.17487566504742078,3.091055244948489,1.2744398751233224,0.7476228728476154,0.0,0.0,0.0,0.0
2_3_0,2_3_0\synth.csv,2_3_0\train.csv,2_3_0\val.csv,2_3_0\test.csv,0.2669422314077136,0.48828567013740315,0.44376684875459677,0.17822628318811526,3.068453113164697,1.6979241425582767,0.8533863228817864,0.12317923819397492,0.1181055293682034,0.0,0.0
2_4_0,2_4_0\synth.csv,2_4_0\train.csv,2_4_0\val.csv,2_4_0\test.csv,0.14439026639462368,0.5189426691729323,0.317103723988081,0.17970545146117667,2.6993957563515965,1.0234535847153943,0.9607005660229968,0.0,0.0,0.0,0.0
3_0_0,3_0_0\synth.csv,3_0_0\train.csv,3_0_0\val.csv,3_0_0\test.csv,0.2553849882094157,0.49584429115300654,0.22987934617255892,0.12547549284190507,3.2625179392010075,0.7276679870500125,0.9008769068855303,0.0,0.0,0.0,0.0
3_1_0,3_1_0\synth.csv,3_1_0\train.csv,3_1_0\val.csv,3_1_0\test.csv,0.12968036529680366,0.5550571949534346,0.40998463054619333,0.21808254298712315,3.2654846217840374,3.0472507279754635,1.0,0.0,0.0,0.0,0.0
3_2_0,3_2_0\synth.csv,3_2_0\train.csv,3_2_0\val.csv,3_2_0\test.csv,0.18861788617886177,0.43746335318213414,0.30804538858491676,0.15810715295448122,2.8630418443432912,1.0553966817602278,0.9833959815639445,0.0,0.0,0.0,0.0
3_3_0,3_3_0\synth.csv,3_3_0\train.csv,3_3_0\val.csv,3_3_0\test.csv,0.10506208213944603,0.48828567013740315,0.38001316657664086,0.12567789857866196,3.1749535627786414,1.3492824816015678,1.0,0.12317923819397492,0.1181055293682034,0.0,0.0
