,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,-0.07493444193637422,0.13398266962982563,0.5234793801301892,0.21010268021856504,2.4439074290260185,1.5697776741950724,0.9999306382612563,0.09130767063792977,0.24633357080973978,0.013654632468084803,0.27887949587284844
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,-0.6814340516205868,0.14154374891637833,0.462607237433776,0.21058571539618973,2.215809385822876,0.9446611691527009,0.9609093549377612,0.08166376557959076,0.22431853633651203,7.206279894302141e-06,0.21328956669345356
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,-0.11399513690869112,0.14286326195897392,0.43672948865126965,0.23135366426439075,2.483244613363444,1.893786516766847,0.9999953698264856,0.08571266205026817,0.2175479311479616,0.00012874563009056652,0.041279332079554795
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,-0.8245319286330182,0.14403738191764737,0.35645406500189775,0.2191017534423969,2.2152405621005453,0.9187154978689993,0.8603371716806595,0.08949106528440576,0.2628329164779755,0.00030555890263455016,0.06326908691265024
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,-0.08300170510343508,0.13043268542686282,0.3832639365799764,0.1587923098272259,2.5075316562957175,0.8714141337972174,0.8856638394340242,0.09109736562593884,0.23583282005826606,0.00034404011692414977,0.05291945988757718
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,-0.09385729915722396,0.13398266962982563,0.506082021275643,0.20855530328101007,2.08733096324279,0.9194602971457664,0.8566883575273366,0.09130767063792977,0.24633357080973978,4.119048893552909e-06,0.0686845536530142
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,-0.06983162371594331,0.14154374891637833,0.4556880302195984,0.16878165446808518,1.9058182987492287,0.8645113461067528,0.9838657284807975,0.08166376557959076,0.22431853633651203,1.2592599805048322e-05,0.048090851047460345
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,-0.13918515957028754,0.14286326195897392,0.5276036538802925,0.19330491263005622,2.178764236145303,0.823420978772849,0.9999948857669202,0.08571266205026817,0.2175479311479616,9.284258315588852e-08,0.06447027502634303
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,-0.8200656991251305,0.14403738191764737,0.3472610415349804,0.20742848778423437,2.0400807021850653,0.7962546605216307,0.9329188593006583,0.08949106528440576,0.2628329164779755,1.980040542249373e-06,0.0740114836910803
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,-0.08707381724059315,0.13043268542686282,0.2652989669386103,0.20815200345180945,2.6672976194084317,0.8642673453672183,0.7047297269979247,0.09109736562593884,0.23583282005826606,0.00023312777168752385,0.04384233573351726
