,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,0.42407746460713275,0.49584429115300654,0.03583751902477737,0.012738388978846993,0.45583522556234657,0.0,0.0,0.0,0.0,0.0,0.0
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,0.5094003851295138,0.5550571949534346,0.03381470740325423,0.016364664456267514,0.4624248502833868,0.0,0.0,0.0,0.0,0.0,0.0
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,0.4589454927305145,0.43746335318213414,0.021979500288500237,0.015613835556583643,0.4353603978863203,0.0,0.0,0.0,0.0,0.0,0.0
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,0.4460629367510349,0.48828567013740315,0.02489969772426779,0.011825956768704854,0.45731956800550333,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,0.4332345765630731,0.5189426691729323,0.03294854864899097,0.015385406225100878,0.4459598947291046,0.0,0.0,0.0,0.0,0.0,0.0
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.43337494522442666,0.49584429115300654,0.02476558049035707,0.012344822268486395,0.5072182723596371,0.0,0.0,0.0,0.0,0.0,0.0
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,0.4917338546646308,0.5550571949534346,0.02944756768921004,0.013897242141516946,0.4953999427624126,0.0,0.0,0.0,0.0,0.0,0.0
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.39808093029508634,0.43746335318213414,0.021638819595032638,0.013957963862544016,0.5050022716037901,0.0,0.0,0.0,0.0,0.0,0.0
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.49655385753369297,0.48828567013740315,0.01875880425964633,0.00728114478114478,0.49443309226281057,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.5460624932036856,0.5189426691729323,0.03068310161725781,0.011649871191855923,0.5414446785736436,0.0,0.0,0.0,0.0,0.0,0.0
2_0_0,2_0_0\synth.csv,2_0_0\train.csv,2_0_0\val.csv,2_0_0\test.csv,0.40094427803428845,0.49584429115300654,0.04701382991104658,0.030338370987225943,0.6652410052547281,0.0,0.0,0.0,0.0,0.0,0.0
2_1_0,2_1_0\synth.csv,2_1_0\train.csv,2_1_0\val.csv,2_1_0\test.csv,0.5364393057675376,0.5550571949534346,0.04964712677697339,0.024459287531806605,0.5221212863024248,0.0,0.0,0.0,0.0,0.0,0.0
2_2_0,2_2_0\synth.csv,2_2_0\train.csv,2_2_0\val.csv,2_2_0\test.csv,0.4594680794208765,0.43746335318213414,0.04080911157054725,0.01268794818413139,0.43469592384844247,0.0,0.0,0.0,0.0,0.0,0.0
2_3_0,2_3_0\synth.csv,2_3_0\train.csv,2_3_0\val.csv,2_3_0\test.csv,0.49124757358609755,0.48828567013740315,0.022023298775994633,0.010858585858585859,0.595412289420739,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
2_4_0,2_4_0\synth.csv,2_4_0\train.csv,2_4_0\val.csv,2_4_0\test.csv,0.3392307306554336,0.5189426691729323,0.08225651503253459,0.042746114501839697,0.8471721648216551,0.0,0.0,0.0,0.0,0.0,0.0
3_0_0,3_0_0\synth.csv,3_0_0\train.csv,3_0_0\val.csv,3_0_0\test.csv,0.49947888439170834,0.49584429115300654,0.028751228160242087,0.02187941758552446,0.46880808670877844,0.0,0.0,0.0,0.0,0.0,0.0
3_1_0,3_1_0\synth.csv,3_1_0\train.csv,3_1_0\val.csv,3_1_0\test.csv,0.5044239241957874,0.5550571949534346,0.027989031309063328,0.015696404246022564,0.48533873553881207,0.0,0.0,0.0,0.0,0.0,0.0
3_2_0,3_2_0\synth.csv,3_2_0\train.csv,3_2_0\val.csv,3_2_0\test.csv,0.4636310422497177,0.43746335318213414,0.01946944003385167,0.013736602667900374,0.5523333898591721,0.0,0.0,0.0,0.0,0.0,0.0
3_3_0,3_3_0\synth.csv,3_3_0\train.csv,3_3_0\val.csv,3_3_0\test.csv,0.4810272926214955,0.48828567013740315,0.019086839481377193,0.009932659932659937,0.5850849900481072,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
3_4_0,3_4_0\synth.csv,3_4_0\train.csv,3_4_0\val.csv,3_4_0\test.csv,0.4452064608935922,0.5189426691729323,0.07270786079343569,0.023374081389348562,0.4778010914434189,0.0,0.0,0.0,0.0,0.0,0.0
4_0_0,4_0_0\synth.csv,4_0_0\train.csv,4_0_0\val.csv,4_0_0\test.csv,0.44227128417352163,0.49584429115300654,0.06221192155545273,0.022726630169378256,0.5187578440123739,0.0,0.0,0.0,0.0,0.0,0.0
4_1_0,4_1_0\synth.csv,4_1_0\train.csv,4_1_0\val.csv,4_1_0\test.csv,0.4863572699547465,0.5550571949534346,0.028412308689736505,0.014486789009689782,0.5501555610053978,0.0,0.0,0.0,0.0,0.0,0.0
4_2_0,4_2_0\synth.csv,4_2_0\train.csv,4_2_0\val.csv,4_2_0\test.csv,0.4620420927126649,0.43746335318213414,0.02511399493648444,0.015665882746035413,0.5617699471798361,0.0,0.0,0.0,0.0,0.0,0.0
4_3_0,4_3_0\synth.csv,4_3_0\train.csv,4_3_0\val.csv,4_3_0\test.csv,0.47574024707089774,0.48828567013740315,0.044861072614527056,0.026078212146914435,0.7887238070354515,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
4_4_0,4_4_0\synth.csv,4_4_0\train.csv,4_4_0\val.csv,4_4_0\test.csv,0.41233940173188005,0.5189426691729323,0.07431963842827606,0.023871915474968912,0.4776082067967432,0.0,0.0,0.0,0.0,0.0,0.0
5_0_0,5_0_0\synth.csv,5_0_0\train.csv,5_0_0\val.csv,5_0_0\test.csv,0.44227128417352163,0.49584429115300654,0.06149351947950501,0.02361528773742514,0.5474040904709656,0.0,0.0,0.0,0.0,0.0,0.0
5_1_0,5_1_0\synth.csv,5_1_0\train.csv,5_1_0\val.csv,5_1_0\test.csv,0.5091224557891224,0.5550571949534346,0.06714986830076128,0.018963168581489186,0.4117904754008165,0.0,0.0,0.0,0.0,0.0,0.0
5_2_0,5_2_0\synth.csv,5_2_0\train.csv,5_2_0\val.csv,5_2_0\test.csv,0.5338478895635791,0.43746335318213414,0.04246216430335038,0.020055517002081892,0.5288449764726795,0.0,0.0,0.0,0.0,0.0,0.0
5_3_0,5_3_0\synth.csv,5_3_0\train.csv,5_3_0\val.csv,5_3_0\test.csv,0.4872331154684096,0.48828567013740315,0.04210589934451654,0.019827730228493587,0.4447084376864591,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
5_4_0,5_4_0\synth.csv,5_4_0\train.csv,5_4_0\val.csv,5_4_0\test.csv,0.5467867473287528,0.5189426691729323,0.06096677920233702,0.028726885215434827,0.7071765787694583,0.0,0.0,0.0,0.0,0.0,0.0
6_0_0,6_0_0\synth.csv,6_0_0\train.csv,6_0_0\val.csv,6_0_0\test.csv,0.3926810468422263,0.49584429115300654,0.044821296004287414,0.02372227362685378,0.6951849065190375,0.10915019805750252,0.07913325821596548,0.0,0.0,0.0,0.0
6_1_0,6_1_0\synth.csv,6_1_0\train.csv,6_1_0\val.csv,6_1_0\test.csv,0.5022193794671864,0.5550571949534346,0.07720676335220059,0.018871925360474974,0.4094801614861135,0.0,0.0,0.0,0.0,0.0,0.0
6_2_0,6_2_0\synth.csv,6_2_0\train.csv,6_2_0\val.csv,6_2_0\test.csv,0.5082087694946792,0.43746335318213414,0.042001099109470676,0.025394209268255075,0.5717505445654393,0.0,0.0,0.0,0.0,0.0,0.0
6_3_0,6_3_0\synth.csv,6_3_0\train.csv,6_3_0\val.csv,6_3_0\test.csv,0.3310699650025426,0.48828567013740315,0.08855058372659577,0.02319826766391651,0.8335947112659567,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
6_4_0,6_4_0\synth.csv,6_4_0\train.csv,6_4_0\val.csv,6_4_0\test.csv,0.42472935753742486,0.5189426691729323,0.07515707647186741,0.025801566259581528,0.5270355559836065,0.0,0.0,0.0,0.0,0.0,0.0
7_0_0,7_0_0\synth.csv,7_0_0\train.csv,7_0_0\val.csv,7_0_0\test.csv,0.3926810468422263,0.49584429115300654,0.04419951650206717,0.02352404451641092,0.6962914866410705,0.0,0.0,0.0,0.0,0.0,0.0
7_1_0,7_1_0\synth.csv,7_1_0\train.csv,7_1_0\val.csv,7_1_0\test.csv,0.4754478789566509,0.5550571949534346,0.08171228846858705,0.020407960007196645,0.44545021918943867,0.0,0.0,0.0,0.0,0.0,0.0
7_2_0,7_2_0\synth.csv,7_2_0\train.csv,7_2_0\val.csv,7_2_0\test.csv,0.5035436844229216,0.43746335318213414,0.040609169370239215,0.02725666332536561,0.5937899577990824,0.0,0.0,0.0,0.0,0.0,0.0
7_3_0,7_3_0\synth.csv,7_3_0\train.csv,7_3_0\val.csv,7_3_0\test.csv,0.43636363636363634,0.48828567013740315,0.06846234521030231,0.028234957719690545,0.7084318028662924,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
7_4_0,7_4_0\synth.csv,7_4_0\train.csv,7_4_0\val.csv,7_4_0\test.csv,0.4414718614718615,0.5189426691729323,0.07269646948020629,0.027104080539195045,0.5325207548104667,0.0,0.0,0.0,0.0,0.0,0.0
8_0_0,8_0_0\synth.csv,8_0_0\train.csv,8_0_0\val.csv,8_0_0\test.csv,0.3912393165366354,0.49584429115300654,0.046166933791611325,0.023402279795409563,0.6935762453261521,0.1212779978416687,0.090690536424064,0.0,0.0,0.0,0.0
8_1_0,8_1_0\synth.csv,8_1_0\train.csv,8_1_0\val.csv,8_1_0\test.csv,0.4720798045356589,0.5550571949534346,0.08171317602759287,0.021121199270054233,0.44374149592270884,0.0,0.0,0.0,0.0,0.0,0.0
8_2_0,8_2_0\synth.csv,8_2_0\train.csv,8_2_0\val.csv,8_2_0\test.csv,0.3867078589030993,0.43746335318213414,0.05671580184525129,0.020377759786156732,0.4328445722989463,0.11024896443278112,0.06556252613769814,0.0,0.0,0.0,0.0
8_3_0,8_3_0\synth.csv,8_3_0\train.csv,8_3_0\val.csv,8_3_0\test.csv,0.39115902936107805,0.48828567013740315,0.07282898125202893,0.028844745161539058,0.6518378470723905,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
8_4_0,8_4_0\synth.csv,8_4_0\train.csv,8_4_0\val.csv,8_4_0\test.csv,0.42472935753742486,0.5189426691729323,0.07142946670172742,0.02740539076416939,0.5303985655524454,0.0,0.0,0.0,0.0,0.0,0.0
9_0_0,9_0_0\synth.csv,9_0_0\train.csv,9_0_0\val.csv,9_0_0\test.csv,0.4170506099809231,0.49584429115300654,0.04688114865489358,0.02330589611123962,0.690885238418912,0.1212779978416687,0.09795838910821854,0.0,0.0,0.0,0.0
9_1_0,9_1_0\synth.csv,9_1_0\train.csv,9_1_0\val.csv,9_1_0\test.csv,0.4720798045356589,0.5550571949534346,0.08152842080264303,0.02140713753309173,0.4346316858943208,0.0,0.0,0.0,0.0,0.0,0.0
9_2_0,9_2_0\synth.csv,9_2_0\train.csv,9_2_0\val.csv,9_2_0\test.csv,0.4543274062884833,0.43746335318213414,0.05898423483525822,0.020646348986043648,0.41252757048382643,0.0,0.0,0.0,0.0,0.0,0.0
9_3_0,9_3_0\synth.csv,9_3_0\train.csv,9_3_0\val.csv,9_3_0\test.csv,0.39115902936107805,0.48828567013740315,0.07589063927863902,0.029489873287583207,0.588173947829437,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
9_4_0,9_4_0\synth.csv,9_4_0\train.csv,9_4_0\val.csv,9_4_0\test.csv,0.42472935753742486,0.5189426691729323,0.07091253071870403,0.02728874179255858,0.5348501674527529,0.0,0.0,0.0,0.0,0.0,0.0
0_0_1,0_0_1\synth.csv,0_0_1\train.csv,0_0_1\val.csv,0_0_1\test.csv,0.5113514269965528,0.49584429115300654,0.02991321120684092,0.016476790808851886,0.3644907751683551,0.0,0.0,0.0,0.0,0.0,0.0
0_1_1,0_1_1\synth.csv,0_1_1\train.csv,0_1_1\val.csv,0_1_1\test.csv,0.5030551473707552,0.5550571949534346,0.024818819600071467,0.01817121597655948,0.3482844505879559,0.12003648319282767,0.07647761419714952,0.0,0.0,0.0,0.0
0_2_1,0_2_1\synth.csv,0_2_1\train.csv,0_2_1\val.csv,0_2_1\test.csv,0.46627182531299255,0.43746335318213414,0.024809445756295845,0.013639576425835975,0.3709007996487217,0.12249884936975608,0.0931854428809501,0.0,0.0,0.1185624857829295,0.11029168745239398
0_3_1,0_3_1\synth.csv,0_3_1\train.csv,0_3_1\val.csv,0_3_1\test.csv,0.44328396714306834,0.48828567013740315,0.023008252895727666,0.013212917983910343,0.33303546468582196,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
0_4_1,0_4_1\synth.csv,0_4_1\train.csv,0_4_1\val.csv,0_4_1\test.csv,0.4530197893189652,0.5189426691729323,0.018475970312757294,0.020516774715248,0.42986595400613586,0.0,0.0,0.0,0.0,0.0,0.0
1_0_1,1_0_1\synth.csv,1_0_1\train.csv,1_0_1\val.csv,1_0_1\test.csv,0.42033229186775056,0.49584429115300654,0.023806974666950854,0.01788238620299689,0.4088653726913693,0.0,0.0,0.0,0.0,0.0,0.0
1_1_1,1_1_1\synth.csv,1_1_1\train.csv,1_1_1\val.csv,1_1_1\test.csv,0.4414288056323779,0.5550571949534346,0.032124946962071646,0.014005191867787292,0.4161331997417869,0.0,0.0,0.0,0.0,0.0,0.0
1_2_1,1_2_1\synth.csv,1_2_1\train.csv,1_2_1\val.csv,1_2_1\test.csv,0.45314733455997397,0.43746335318213414,0.020392602892452334,0.012504497905261269,0.36699238525513633,0.0,0.0,0.0,0.0,0.0,0.0
1_3_1,1_3_1\synth.csv,1_3_1\train.csv,1_3_1\val.csv,1_3_1\test.csv,0.4441821338500442,0.48828567013740315,0.023914382926510918,0.01466477754645693,0.42532312352817536,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
1_4_1,1_4_1\synth.csv,1_4_1\train.csv,1_4_1\val.csv,1_4_1\test.csv,0.4504947221405586,0.5189426691729323,0.03174557291286107,0.018205147976140333,0.4395123110783987,0.0,0.0,0.0,0.0,0.0,0.0
2_0_1,2_0_1\synth.csv,2_0_1\train.csv,2_0_1\val.csv,2_0_1\test.csv,0.4371589341823429,0.49584429115300654,0.05457869885652765,0.028874945382578964,0.6394326902034835,0.0,0.0,0.0,0.0,0.0,0.0
2_1_1,2_1_1\synth.csv,2_1_1\train.csv,2_1_1\val.csv,2_1_1\test.csv,0.4659532124216139,0.5550571949534346,0.04741884404521726,0.024032950368828233,0.4946815729185067,0.0,0.0,0.0,0.0,0.0,0.0
2_2_1,2_2_1\synth.csv,2_2_1\train.csv,2_2_1\val.csv,2_2_1\test.csv,0.48789685227837243,0.43746335318213414,0.031450527654879615,0.02177275297504306,0.30513053760624437,0.0,0.0,0.0,0.0,0.0,0.0
2_3_1,2_3_1\synth.csv,2_3_1\train.csv,2_3_1\val.csv,2_3_1\test.csv,0.4413991195543092,0.48828567013740315,0.024389336504750246,0.013112036394479134,0.5950863395277595,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
2_4_1,2_4_1\synth.csv,2_4_1\train.csv,2_4_1\val.csv,2_4_1\test.csv,0.3862772286084895,0.5189426691729323,0.08057525415901397,0.0392826285956057,0.7523331515251575,0.1211255559402976,0.10153736166538788,0.0,0.0,0.0,0.0
3_0_1,3_0_1\synth.csv,3_0_1\train.csv,3_0_1\val.csv,3_0_1\test.csv,0.3952923107375981,0.49584429115300654,0.04179765454737853,0.028716554861593035,0.4703575287127173,0.0,0.0,0.0,0.0,0.0,0.0
3_1_1,3_1_1\synth.csv,3_1_1\train.csv,3_1_1\val.csv,3_1_1\test.csv,0.3337111908810379,0.5550571949534346,0.031005955816408682,0.016104107230061428,0.41971996092106495,0.0,0.0,0.0,0.0,0.0,0.0
3_2_1,3_2_1\synth.csv,3_2_1\train.csv,3_2_1\val.csv,3_2_1\test.csv,0.47457611241217795,0.43746335318213414,0.020060563603035583,0.01619631428791735,0.47917720702956024,0.0,0.0,0.0,0.0,0.0,0.0
3_3_1,3_3_1\synth.csv,3_3_1\train.csv,3_3_1\val.csv,3_3_1\test.csv,0.4264309879865718,0.48828567013740315,0.027385476025957957,0.013814352173130795,0.5762022811545661,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
3_4_1,3_4_1\synth.csv,3_4_1\train.csv,3_4_1\val.csv,3_4_1\test.csv,0.4134981154654123,0.5189426691729323,0.08129254448040571,0.031198657152855625,0.38718576242171476,0.0,0.0,0.0,0.0,0.0,0.0
4_0_1,4_0_1\synth.csv,4_0_1\train.csv,4_0_1\val.csv,4_0_1\test.csv,0.34429880405112606,0.49584429115300654,0.07081888012552902,0.03708362248438585,0.5063643676763381,0.1212779978416687,0.08093406603193533,0.0,0.0,0.0,0.0
4_1_1,4_1_1\synth.csv,4_1_1\train.csv,4_1_1\val.csv,4_1_1\test.csv,0.4688445251058681,0.5550571949534346,0.030408808360670864,0.013646323283727857,0.5176957347957476,0.0,0.0,0.0,0.0,0.0,0.0
4_2_1,4_2_1\synth.csv,4_2_1\train.csv,4_2_1\val.csv,4_2_1\test.csv,0.4795172244928982,0.43746335318213414,0.025884629633714323,0.015407574472459962,0.5236644636357348,0.0,0.0,0.0,0.0,0.0,0.0
4_3_1,4_3_1\synth.csv,4_3_1\train.csv,4_3_1\val.csv,4_3_1\test.csv,0.4747139692875684,0.48828567013740315,0.04372837157906956,0.025462962962962955,0.713883067712261,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
4_4_1,4_4_1\synth.csv,4_4_1\train.csv,4_4_1\val.csv,4_4_1\test.csv,0.4727406473308113,0.5189426691729323,0.07954785086926563,0.030599990905334405,0.3950578749261906,0.0,0.0,0.0,0.0,0.0,0.0
5_0_1,5_0_1\synth.csv,5_0_1\train.csv,5_0_1\val.csv,5_0_1\test.csv,0.40620124876270386,0.49584429115300654,0.06879460696209906,0.03430359575397742,0.5127444539985684,0.0,0.0,0.0,0.0,0.0,0.0
5_1_1,5_1_1\synth.csv,5_1_1\train.csv,5_1_1\val.csv,5_1_1\test.csv,0.33999685682854003,0.5550571949534346,0.06603430348912123,0.026329452283650752,0.3952526103481396,0.0,0.0,0.0,0.0,0.0,0.0
5_2_1,5_2_1\synth.csv,5_2_1\train.csv,5_2_1\val.csv,5_2_1\test.csv,0.49657252197194574,0.43746335318213414,0.044552197325122014,0.02355810008481764,0.5907533625372802,0.0,0.0,0.0,0.0,0.0,0.0
5_3_1,5_3_1\synth.csv,5_3_1\train.csv,5_3_1\val.csv,5_3_1\test.csv,0.4407898571844943,0.48828567013740315,0.04510087127676566,0.021730986711902742,0.4991724160512973,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
