,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,0.13001285807604523,0.13398266962982563,0.037063038762459484,0.01047700718299555,0.22894624015106257,0.10522915312374549,0.2719841638300365,0.09130767063792977,0.24633357080973978,0.11346900208850781,0.2989717848038673
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,0.12069306771554789,0.14154374891637833,0.049090937149934975,0.015063726769291661,0.26934577548050914,0.11118009481231844,0.2850530720095794,0.08166376557959076,0.22431853633651203,0.1149788695112589,0.2885572462093924
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,0.12257769739885704,0.14286326195897392,0.0360701907242665,0.015866726666571223,0.31083569060263677,0.0984053234610967,0.2728158634704414,0.08571266205026817,0.2175479311479616,0.10583829820751858,0.2892191178077942
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,0.12065724646895792,0.14403738191764737,0.03441413272546213,0.012000491145839953,0.26466118516056103,0.09583312876887795,0.27410442299554694,0.08949106528440576,0.2628329164779755,0.12350582224716235,0.32978297151797115
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,0.1312906212196029,0.13043268542686282,0.04257801088146301,0.010850421906294153,0.24272766974533935,0.12030995925206622,0.30514821361981737,0.09109736562593884,0.23583282005826606,0.11249781528039732,0.3017149724880653
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.12731006950207313,0.13398266962982563,0.024331210905895514,0.012000406667831226,0.2068521835666536,0.09041299053179032,0.26902792060569125,0.09130767063792977,0.24633357080973978,0.10154756641493282,0.2520881454168461
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,0.12046973714617604,0.14154374891637833,0.031175927653071034,0.018515205516091364,0.2635697221903198,0.09850915175669146,0.24957150376625337,0.08166376557959076,0.22431853633651203,0.1001586456310296,0.2905131693487009
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.12850773010803407,0.14286326195897392,0.027326781061912293,0.014857130781774754,0.20957393179803213,0.08768151921216308,0.2647235441208965,0.08571266205026817,0.2175479311479616,0.09019576091350524,0.3002414701383934
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.1028154478711889,0.14403738191764737,0.028845666832771583,0.01618876756820435,0.16282145130342113,0.08436059099195548,0.2723061851481914,0.08949106528440576,0.2628329164779755,0.09511552967346473,0.29322323366115216
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.12495623231391939,0.13043268542686282,0.0347270678430798,0.015330316624856552,0.23007582374918187,0.10064461320499997,0.2896195267595232,0.09109736562593884,0.23583282005826606,0.09610792906503729,0.26282040065739665
