,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,0.5819672131147541,0.6454183266932271,0.01500397101533944,0.009267429014727688,0.6152096872029815,0.539923601094238,0.6485638487359061,0.398074352757757,0.5208718334592021,0.5703827662444227,0.6415914523015785
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,0.5743380855397149,0.59765625,0.007573271794116553,0.008932132674543052,0.5514506100881761,0.5296659600323056,0.6313902307821493,0.401289244802445,0.5217034059483369,0.5706375281386099,0.6607381886296559
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,0.6111111111111112,0.5750528541226215,0.021318978301403668,0.009739318910192737,0.6210193651880417,0.5427670528210934,0.6485055325856743,0.39128831715651513,0.4975364194359013,0.587370945985842,0.6627997274063474
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,0.5629290617848971,0.6134453781512605,0.021201774249420338,0.010787464885597056,0.6274709041583331,0.526732870133593,0.6476987738259202,0.40556805917456157,0.5142310533025557,0.5886695836637232,0.6454066119928143
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,0.46031746031746035,0.6612244897959185,0.015611358721782816,0.009308244975276207,0.6630274659620184,0.5412841766938483,0.6385637089612363,0.39968857645640016,0.5212078162604378,0.5933882489852426,0.6605672717195195
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.6168958742632613,0.6454183266932271,0.013124238005586923,0.006618309488530453,0.31535574205936523,0.47119749324251314,0.6050018200953373,0.398074352757757,0.5208718334592021,0.47578360625380284,0.6084297699317104
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,0.556745182012848,0.59765625,0.02056260170437064,0.006115871990818809,0.38978504269399034,0.45230209194964743,0.5827964601018886,0.401289244802445,0.5217034059483369,0.48313664547542373,0.5996124476773019
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.6206896551724137,0.5750528541226215,0.02078830208394632,0.005675345438728367,0.3480724369677775,0.48006539488554206,0.6131541401697083,0.39128831715651513,0.4975364194359013,0.4718288509970152,0.6200125346255989
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.5625,0.6134453781512605,0.01204987142357341,0.0059876998228081,0.40050168298937283,0.4693561266934242,0.6060265350855967,0.40556805917456157,0.5142310533025557,0.4515970299035654,0.606178577329222
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.6196078431372549,0.6612244897959185,0.0103050916414279,0.007006449431225484,0.3745266468654215,0.471190251168532,0.6055083176272558,0.39968857645640016,0.5212078162604378,0.4780777358250908,0.6050565522227056
