,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,0.3716556475301987,0.49584429115300654,0.11397027970903546,0.23847861567327217,1.7850324694598807,0.2425559956833374,0.27977709893473135,0.0,0.0,0.0,0.0
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,0.4900568181818181,0.5550571949534346,0.10103039001414413,0.26747628961369424,1.530903650009696,0.12003648319282778,0.21782624431336492,0.0,0.0,0.0,0.0
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,0.510722519583939,0.43746335318213414,0.08506409232486146,0.20227658262009407,1.7955506160381234,0.12249884936975608,0.18031971595534318,0.0,0.0,0.0,0.0
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,0.43750774806661435,0.48828567013740315,0.08832631233474054,0.3067430025445293,1.6348981923113537,0.12317923819397494,0.2778421216041829,0.12317923819397492,0.1181055293682034,0.0,0.0
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,0.4494072874077503,0.5189426691729323,0.11168139842194544,0.23717741122321273,1.4944623477866414,0.12112555594029772,0.2446778252064322,0.0,0.0,0.0,0.0
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.4539978856501156,0.49584429115300654,0.06992509742801434,0.1439255789446629,1.463324750254354,0.1212779978416687,0.1522739760611025,0.0,0.0,0.0,0.0
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,0.49664848698099934,0.5550571949534346,0.08841406076468342,0.15909315804353974,1.14190088777066,0.12003648319282767,0.08104770890750919,0.0,0.0,0.0,0.0
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.4567592112349146,0.43746335318213414,0.08484968586514476,0.15583892358701518,1.6142022780215373,0.12249884936975608,0.12249537403243148,0.0,0.0,0.0,0.0
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.4163886037911337,0.48828567013740315,0.07687558114424745,0.19265877605572265,1.830285567786118,0.0,0.0,0.12317923819397492,0.1181055293682034,0.0,0.0
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.5260455100023655,0.5189426691729323,0.09868112152960476,0.22465919717828114,1.7302181035310482,0.12112555594029767,0.18465306642423132,0.0,0.0,0.0,0.0
2_0_0,2_0_0\synth.csv,2_0_0\train.csv,2_0_0\val.csv,2_0_0\test.csv,0.43771900595777913,0.49584429115300654,0.03818192688783975,0.09732053358007557,1.2959695183602589,0.0,0.0,0.0,0.0,0.0,0.0
2_1_0,2_1_0\synth.csv,2_1_0\train.csv,2_1_0\val.csv,2_1_0\test.csv,0.4595340159069276,0.5550571949534346,0.07616446544727287,0.13399998714884212,0.9463381972581985,0.0,0.0,0.0,0.0,0.0,0.0
