,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,0.11316746028168079,0.13398266962982563,0.036697369428862175,0.031088388380381658,0.5962213546586939,0.059894171626108605,0.13043662842133208,0.09130767063792977,0.24633357080973978,0.05245258383536212,0.19746466681435038
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,0.12649335647887727,0.14154374891637833,0.062167601489369374,0.035762546861575616,0.6670617173970294,0.07115106547575055,0.14645135710694246,0.08166376557959076,0.22431853633651203,0.0415807215138808,0.1951095175988374
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,0.12838157279010454,0.14286326195897392,0.05116604003288602,0.02915484658555271,0.784675976709996,0.06251014123013543,0.1271842800032167,0.08571266205026817,0.2175479311479616,0.03790708887259604,0.1896716457698061
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,0.1388409987008018,0.14403738191764737,0.023879550493261004,0.023600408911885664,0.41738832445036606,0.06304447483126174,0.12872306047402285,0.08949106528440576,0.2628329164779755,0.07167873458814752,0.19092157989634914
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,0.11066222450807373,0.13043268542686282,0.016125314130426747,0.021423794556071248,0.40654884730386737,0.07215760333817002,0.15186710308108103,0.09109736562593884,0.23583282005826606,0.06681876352914061,0.15473485066469284
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.1253414248162511,0.13398266962982563,0.01686400586656671,0.009567052011840337,0.254599985819864,0.023900598345420604,0.09052095715351785,0.09130767063792977,0.24633357080973978,0.02316146088409668,0.10264975867684996
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,0.13446256343504803,0.14154374891637833,0.022016927410272117,0.016814711990068187,0.30329208801477214,0.029349221490614807,0.09816381719570408,0.08166376557959076,0.22431853633651203,0.02957794499184563,0.11456784557050523
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.14195029059586217,0.14286326195897392,0.019233066509151603,0.01347748603473317,0.23590947627183212,0.028816500246960745,0.08861040812769712,0.08571266205026817,0.2175479311479616,0.027192100607340286,0.10692326213640471
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.13671283072124907,0.14403738191764737,0.01665882057813947,0.009536959978457299,0.3242288030577651,0.02517620469368681,0.0895673109979521,0.08949106528440576,0.2628329164779755,0.03299963422320823,0.09999158190741009
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.11671176895934221,0.13043268542686282,0.01389493056062483,0.012404819903638009,0.2822086713726504,0.022163263857717747,0.09684174977289835,0.09109736562593884,0.23583282005826606,0.029291683045558403,0.09660887103588119
2_0_0,2_0_0\synth.csv,2_0_0\train.csv,2_0_0\val.csv,2_0_0\test.csv,0.12781669538758456,0.13398266962982563,0.01679844008822415,0.00749936743629924,0.25728291649833596,0.017453289242237824,0.07886523940820325,0.09130767063792977,0.24633357080973978,0.01791979223488297,0.08545213330404322
2_1_0,2_1_0\synth.csv,2_1_0\train.csv,2_1_0\val.csv,2_1_0\test.csv,0.13310242522866467,0.14154374891637833,0.02001674781856191,0.012738779564480806,0.2929703521450416,0.01485827003312798,0.06793737242098441,0.08166376557959076,0.22431853633651203,0.014227070354169216,0.07647567041263574
2_2_0,2_2_0\synth.csv,2_2_0\train.csv,2_2_0\val.csv,2_2_0\test.csv,0.14268945370202957,0.14286326195897392,0.019489692970546316,0.011257457341417941,0.24725539951647657,0.01648447588883145,0.08446706266383232,0.08571266205026817,0.2175479311479616,0.017951474602482476,0.07633805018516607
2_3_0,2_3_0\synth.csv,2_3_0\train.csv,2_3_0\val.csv,2_3_0\test.csv,0.1346452876501485,0.14403738191764737,0.016579198431344807,0.008342785559518107,0.3340896761319136,0.016738279950696044,0.06852369776380189,0.08949106528440576,0.2628329164779755,0.018081768961376005,0.08040837643355526
2_4_0,2_4_0\synth.csv,2_4_0\train.csv,2_4_0\val.csv,2_4_0\test.csv,0.11526618382010445,0.13043268542686282,0.014159433880847028,0.01019686057775257,0.2983080619247275,0.013916877957709073,0.07243074950000042,0.09109736562593884,0.23583282005826606,0.01997896128225718,0.08244450235456527
3_0_0,3_0_0\synth.csv,3_0_0\train.csv,3_0_0\val.csv,3_0_0\test.csv,0.12824401116962603,0.13398266962982563,0.017047403715259975,0.007073389011612787,0.26322541276825073,0.012048366179830752,0.06504659499426194,0.09130767063792977,0.24633357080973978,0.012409195518172905,0.0584651371272504
3_1_0,3_1_0\synth.csv,3_1_0\train.csv,3_1_0\val.csv,3_1_0\test.csv,0.1347598884262774,0.14154374891637833,0.02001674781856191,0.010912550818489809,0.29147089040576507,0.009841221802930612,0.05280787591726188,0.08166376557959076,0.22431853633651203,0.018323134715682247,0.08396328595940747
3_2_0,3_2_0\synth.csv,3_2_0\train.csv,3_2_0\val.csv,3_2_0\test.csv,0.14274186655336518,0.14286326195897392,0.019489692970546316,0.010544269007056828,0.2562275688592763,0.010729616815439436,0.06878106125521805,0.08571266205026817,0.2175479311479616,0.01716545850593232,0.07197682895842633
3_3_0,3_3_0\synth.csv,3_3_0\train.csv,3_3_0\val.csv,3_3_0\test.csv,0.13694019243893873,0.14403738191764737,0.016818060094627833,0.007305664249854187,0.33379922092960157,0.014008521277559138,0.06314381672768195,0.08949106528440576,0.2628329164779755,0.014767606923306989,0.07722617850223418
