,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,0.5049019607843137,0.6454183266932271,0.026991530333165023,0.06012695816963195,1.8850587523729685,0.46470982858351506,0.6053947837522038,0.398074352757757,0.5208718334592021,0.0,0.0
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,0.5241379310344827,0.59765625,0.01094984109960185,0.09508006128575958,2.0269688351459885,0.47293924082798977,0.5967509936218226,0.401289244802445,0.5217034059483369,0.0,0.0
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,0.5038167938931297,0.5750528541226215,0.006612548103545673,0.07084137795278006,2.0925058145765334,0.4829397501016142,0.6060982485495376,0.39128831715651513,0.4975364194359013,0.0,0.0
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,0.6069868995633189,0.6134453781512605,0.0279596535778551,0.04642403797152604,2.091079522154857,0.48032782994127504,0.6101526885618411,0.40556805917456157,0.5142310533025557,9.24902523284692e-05,0.04973616011126494
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,0.5967365967365967,0.6612244897959185,0.027442733328251534,0.07517187269587286,1.7599544989153486,0.47707705614272344,0.6124674368202897,0.39968857645640016,0.5212078162604378,0.0,0.0
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.6234309623430963,0.6454183266932271,0.0012883680301159406,0.0246199877236513,1.2487785999285796,0.4592131688737985,0.6088086502389107,0.398074352757757,0.5208718334592021,0.22465747758849514,0.43982745965571635
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,0.5964214711729623,0.59765625,0.017498475484948164,0.042706928581557134,1.6690736456507698,0.4645214616059378,0.6184282311537231,0.401289244802445,0.5217034059483369,0.0,0.0
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.6157205240174674,0.5750528541226215,0.007414861405435895,0.03573025435880239,2.738056020508227,0.460831995336855,0.6013240203135708,0.39128831715651513,0.4975364194359013,0.045457557111503476,0.20469650516945329
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.6491935483870968,0.6134453781512605,0.00919538777774136,0.02455174555118469,1.55432572982452,0.46247332648401634,0.6072320087553381,0.40556805917456157,0.5142310533025557,0.2611947781574487,0.48928293018711977
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.640176600441501,0.6612244897959185,0.004831882740113615,0.041326087802350184,1.8642635409804047,0.46731909224922413,0.6076246123247333,0.39968857645640016,0.5212078162604378,0.0,0.0
2_0_0,2_0_0\synth.csv,2_0_0\train.csv,2_0_0\val.csv,2_0_0\test.csv,0.5982905982905983,0.6454183266932271,0.0057827647407437234,0.018528670109424675,1.3405524574945173,0.455542334546244,0.6093309474917235,0.398074352757757,0.5208718334592021,0.27690806159067305,0.49104640392527577
2_1_0,2_1_0\synth.csv,2_1_0\train.csv,2_1_0\val.csv,2_1_0\test.csv,0.5608695652173914,0.59765625,0.019743906369239447,0.02733681032341265,1.4524111282406158,0.4601549142245001,0.6090507168290742,0.401289244802445,0.5217034059483369,0.22769558254936162,0.4472287320543453
2_2_0,2_2_0\synth.csv,2_2_0\train.csv,2_2_0\val.csv,2_2_0\test.csv,0.6139954853273137,0.5750528541226215,0.008698335123538334,0.029631262184084975,2.5508492498450828,0.4610074797639092,0.6053518115484785,0.39128831715651513,0.4975364194359013,0.16549320221492614,0.30795047700119077
