,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,0.4288126230286243,0.49584429115300654,0.28366750514175165,0.09007890610944044,2.3387633961938916,0.1212779978416687,0.3718961465503894,0.0,0.0,0.0,0.0
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,0.20735432330827067,0.5550571949534346,0.27113094411485794,0.09922154111085409,2.4050475094289205,0.12003648319282773,0.27851274278002386,0.0,0.0,0.0,0.0
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,0.31236863718905006,0.43746335318213414,0.25044490387781676,0.07734212352532963,2.243442080531639,0.12249884936975608,0.36619838332498295,0.0,0.0,0.0,0.0
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,0.2492486219901363,0.48828567013740315,0.24460763750947398,0.06982644511270465,2.502266988178436,0.12317923819397492,0.2892300482010403,0.12317923819397492,0.1181055293682034,0.0,0.0
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,0.24738554785503142,0.5189426691729323,0.2765563817016486,0.08588171794278665,2.318504293786539,0.1211255559402977,0.4539151288438843,0.0,0.0,0.0,0.0
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.4079875926341792,0.49584429115300654,0.23691215096604573,0.029987534376847348,1.5787263535269658,0.0,0.0,0.0,0.0,0.0,0.0
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,0.4440803935181259,0.5550571949534346,0.236153427565384,0.030961009586963784,2.056619441525899,0.0,0.0,0.0,0.0,0.0,0.0
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.37279900179823117,0.43746335318213414,0.2904425527424285,0.0376802374893978,2.209811596809572,0.12249884936975608,0.2846040778567278,0.0,0.0,0.0,0.0
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.41095288794250734,0.48828567013740315,0.25355828008106884,0.04334759811859049,2.5111056397777287,0.12317923819397492,0.2412323017940947,0.12317923819397492,0.1181055293682034,0.0,0.0
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.44691344691344687,0.5189426691729323,0.25355241393526573,0.029344531634607967,2.2744302845541156,0.0,0.0,0.0,0.0,0.0,0.0
