,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,-0.170962898779198,0.13398266962982563,0.22821192002619528,0.11011062040230826,2.172578071069468,0.12844554005005546,0.48564299977472863,0.09130767063792977,0.24633357080973978,0.07880531603186823,0.3642333386269474
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,-0.1729573302429368,0.14154374891637833,0.22542784752344514,0.12334290117593372,2.177142203406982,0.1454962090499706,0.5150672490426504,0.08166376557959076,0.22431853633651203,0.08739894610694068,0.394151212445097
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,-0.27572184500807695,0.14286326195897392,0.23516390172517454,0.11405975247051699,1.9583340343285212,0.12511892760248533,0.42934451123821177,0.08571266205026817,0.2175479311479616,0.0783907160615261,0.3688298866359909
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,-0.23787031916382073,0.14403738191764737,0.25824120219013413,0.11208926554857615,2.153770943512799,0.12049385165112231,0.542524838449878,0.08949106528440576,0.2628329164779755,0.07752705990540877,0.3510870117058882
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,-0.20776903402541147,0.13043268542686282,0.21310389363532964,0.11180580843346832,2.3257554058527528,0.1360878581053374,0.5252590595831327,0.09109736562593884,0.23583282005826606,0.07552273591254056,0.3859629383122155
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.12452590702520261,0.13398266962982563,0.1685714788192557,0.0773287064668536,1.6409362792809634,0.1329320518471782,0.4966181727079751,0.09130767063792977,0.24633357080973978,0.07508134092090064,0.37505674270360223
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,-0.14474783601052077,0.14154374891637833,0.24476871563805788,0.10208110428682655,1.4043934770504145,0.14775012970902293,0.4575010939330698,0.08166376557959076,0.22431853633651203,0.1006192105265216,0.3368118533815209
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.016766172332270735,0.14286326195897392,0.18001974771017984,0.08206226250574233,1.2572198726464678,0.14926307115625337,0.44489959300225385,0.08571266205026817,0.2175479311479616,0.0710369273649446,0.3521765747399691
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.05306807675293557,0.14403738191764737,0.14663553222652723,0.09691099019560712,1.7220152396729715,0.14112369022227805,0.45069049327917865,0.08949106528440576,0.2628329164779755,0.06583033893306056,0.3813679913178831
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.12779082612121806,0.13043268542686282,0.1275113179350271,0.08631675899015846,1.4186568505860724,0.1383660312634061,0.521694048400078,0.09109736562593884,0.23583282005826606,0.06886043032683022,0.3050892952228678
2_0_0,2_0_0\synth.csv,2_0_0\train.csv,2_0_0\val.csv,2_0_0\test.csv,0.0377662880058659,0.13398266962982563,0.16831429205400236,0.0785533315776005,1.1796148644562374,0.14354494211914215,0.5239021448776828,0.09130767063792977,0.24633357080973978,0.07961091417728998,0.37538424855482955
2_1_0,2_1_0\synth.csv,2_1_0\train.csv,2_1_0\val.csv,2_1_0\test.csv,0.04979792339851408,0.14154374891637833,0.14883115083753118,0.07246810704664065,1.2874828985263729,0.14791955185238356,0.39532789513467514,0.08166376557959076,0.22431853633651203,0.07652048238064905,0.36550141368215167
2_2_0,2_2_0\synth.csv,2_2_0\train.csv,2_2_0\val.csv,2_2_0\test.csv,0.06842258125049328,0.14286326195897392,0.12039673791314798,0.06697211322503498,1.3054253024380873,0.14256860956391398,0.4387593204713427,0.08571266205026817,0.2175479311479616,0.07333450665381971,0.3726964053723919
2_3_0,2_3_0\synth.csv,2_3_0\train.csv,2_3_0\val.csv,2_3_0\test.csv,0.01415273987765231,0.14403738191764737,0.14580146603184535,0.0812017617563293,1.5721940313931821,0.13321389395208186,0.4093726291158931,0.08949106528440576,0.2628329164779755,0.07080289255069755,0.3669534390368948
2_4_0,2_4_0\synth.csv,2_4_0\train.csv,2_4_0\val.csv,2_4_0\test.csv,0.07408641198662747,0.13043268542686282,0.16497836367195368,0.07910825014991806,1.1404382666009056,0.14399490084385613,0.47858138429063934,0.09109736562593884,0.23583282005826606,0.06771952148980978,0.3319475026528699
3_0_0,3_0_0\synth.csv,3_0_0\train.csv,3_0_0\val.csv,3_0_0\test.csv,0.0478654873478489,0.13398266962982563,0.16687669379674394,0.06481230187344468,1.3950498076508195,0.14525815045469215,0.3799044428795706,0.09130767063792977,0.24633357080973978,0.07248970469245283,0.32568315173252277
3_1_0,3_1_0\synth.csv,3_1_0\train.csv,3_1_0\val.csv,3_1_0\test.csv,0.04769143243231566,0.14154374891637833,0.10697071147413084,0.06726798172914972,1.2745713394725426,0.12497043368947905,0.4082672464964194,0.08166376557959076,0.22431853633651203,0.08192088630762967,0.3770001576569564
3_2_0,3_2_0\synth.csv,3_2_0\train.csv,3_2_0\val.csv,3_2_0\test.csv,0.08038817339980497,0.14286326195897392,0.10545337360685325,0.06472900455211358,1.2437055610826988,0.14724779656520828,0.442538690675047,0.08571266205026817,0.2175479311479616,0.08667157270825325,0.3928802877550662
3_3_0,3_3_0\synth.csv,3_3_0\train.csv,3_3_0\val.csv,3_3_0\test.csv,0.007446292504856178,0.14403738191764737,0.13546029159653775,0.0760734294400037,1.5134444419018631,0.1257813007251555,0.49512361199465516,0.08949106528440576,0.2628329164779755,0.07028911238602523,0.35388535505908275
3_4_0,3_4_0\synth.csv,3_4_0\train.csv,3_4_0\val.csv,3_4_0\test.csv,0.08665355788963436,0.13043268542686282,0.15694208276788582,0.0670832088866867,1.3475233036550753,0.15042709496430737,0.4142588477394681,0.09109736562593884,0.23583282005826606,0.0731566254941255,0.3586807622553594
4_0_0,4_0_0\synth.csv,4_0_0\train.csv,4_0_0\val.csv,4_0_0\test.csv,0.07162013582619375,0.13398266962982563,0.12709740000061762,0.05582962470993441,1.5394430494686087,0.13952321446912896,0.413954153255106,0.09130767063792977,0.24633357080973978,0.0759917710342788,0.38067013636853075
4_1_0,4_1_0\synth.csv,4_1_0\train.csv,4_1_0\val.csv,4_1_0\test.csv,0.07247633375981688,0.14154374891637833,0.1039545795481424,0.06102793321059016,1.4229697066077682,0.14605494730038157,0.37859204304557637,0.08166376557959076,0.22431853633651203,0.08617658470227124,0.3364814471543557
4_2_0,4_2_0\synth.csv,4_2_0\train.csv,4_2_0\val.csv,4_2_0\test.csv,0.09443281644587975,0.14286326195897392,0.104660894833423,0.04818514189807239,1.246235177730365,0.13283867284584794,0.36422940689409283,0.08571266205026817,0.2175479311479616,0.08880614460948807,0.35950345314897
4_3_0,4_3_0\synth.csv,4_3_0\train.csv,4_3_0\val.csv,4_3_0\test.csv,0.04116369410452603,0.14403738191764737,0.13240978690739255,0.05750672922937837,1.6204130301014643,0.131312844621483,0.3675968250063236,0.08949106528440576,0.2628329164779755,0.07804298362802795,0.34462627251979727
