,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
0_0_0,0_0_0\synth.csv,0_0_0\train.csv,0_0_0\val.csv,0_0_0\test.csv,0.41666666666666674,0.6454183266932271,0.17124677480527384,0.02858264791292966,1.6744647958610097,0.6553277799275792,0.737245420282019,0.398074352757757,0.5208718334592021,0.7015636827165802,0.7040686326039269
0_1_0,0_1_0\synth.csv,0_1_0\train.csv,0_1_0\val.csv,0_1_0\test.csv,0.4618937644341801,0.59765625,0.16934511547710945,0.02736048675627898,1.6402347529493355,0.6397324678871767,0.727732637641795,0.401289244802445,0.5217034059483369,0.6980392237544139,0.700852702233287
0_2_0,0_2_0\synth.csv,0_2_0\train.csv,0_2_0\val.csv,0_2_0\test.csv,0.45959595959595967,0.5750528541226215,0.14579348223982597,0.02376447513445272,1.6192931169453122,0.6590468720547559,0.7260388368547782,0.39128831715651513,0.4975364194359013,0.6738670829606,0.6895362931073861
0_3_0,0_3_0\synth.csv,0_3_0\train.csv,0_3_0\val.csv,0_3_0\test.csv,0.5739130434782609,0.6134453781512605,0.12532508986439045,0.022746970258315694,1.3095187062790417,0.6383345457069883,0.7364051306002335,0.40556805917456157,0.5142310533025557,0.7335938541094509,0.7014267839473128
0_4_0,0_4_0\synth.csv,0_4_0\train.csv,0_4_0\val.csv,0_4_0\test.csv,0.636,0.6612244897959185,0.12280191289216663,0.02290266939664408,1.293998533036396,0.624759558081105,0.7213293355340167,0.39968857645640016,0.5212078162604378,0.6832688534141943,0.6903096058086222
1_0_0,1_0_0\synth.csv,1_0_0\train.csv,1_0_0\val.csv,1_0_0\test.csv,0.598019801980198,0.6454183266932271,0.06608664163414914,0.02752692615346082,1.2252620653181276,0.6517964186438966,0.7144227420038156,0.398074352757757,0.5208718334592021,0.7390643780478338,0.691232785520411
1_1_0,1_1_0\synth.csv,1_1_0\train.csv,1_1_0\val.csv,1_1_0\test.csv,0.5376782077393075,0.59765625,0.045983773918091136,0.026262361397653658,1.2296867839599759,0.6432597595021764,0.7231238023614184,0.401289244802445,0.5217034059483369,0.751124180047657,0.7004718893936809
1_2_0,1_2_0\synth.csv,1_2_0\train.csv,1_2_0\val.csv,1_2_0\test.csv,0.6038543897216275,0.5750528541226215,0.03022579472162106,0.022880005342979962,1.2335103059814905,0.641382689932511,0.7235556844323144,0.39128831715651513,0.4975364194359013,0.7367887246664764,0.7050321473216288
1_3_0,1_3_0\synth.csv,1_3_0\train.csv,1_3_0\val.csv,1_3_0\test.csv,0.5571725571725572,0.6134453781512605,0.05880007374401056,0.022242831810900462,1.1033834419937725,0.6516273531646558,0.70355236356079,0.40556805917456157,0.5142310533025557,0.7282129842680762,0.692961030127432
1_4_0,1_4_0\synth.csv,1_4_0\train.csv,1_4_0\val.csv,1_4_0\test.csv,0.6333333333333333,0.6612244897959185,0.045105919665431746,0.01956535871269483,1.1755864222714771,0.6436631111420825,0.7010465733604809,0.39968857645640016,0.5212078162604378,0.7550874816346625,0.689014238724981
2_0_0,2_0_0\synth.csv,2_0_0\train.csv,2_0_0\val.csv,2_0_0\test.csv,0.596,0.6454183266932271,0.026937514701846396,0.02055618611621925,1.0893065093034713,0.6423924093979455,0.7035801536019353,0.398074352757757,0.5208718334592021,0.7339674548560173,0.6949551403182718
2_1_0,2_1_0\synth.csv,2_1_0\train.csv,2_1_0\val.csv,2_1_0\test.csv,0.5772357723577236,0.59765625,0.03680962332635623,0.023916701827488354,1.080728609808317,0.6232333146814636,0.7145861603976362,0.401289244802445,0.5217034059483369,0.751741262524161,0.7018462315325427
2_2_0,2_2_0\synth.csv,2_2_0\train.csv,2_2_0\val.csv,2_2_0\test.csv,0.626304801670146,0.5750528541226215,0.014141438868776536,0.019324505511623524,1.1130845145806705,0.6316496858093272,0.7001226245934644,0.39128831715651513,0.4975364194359013,0.7731277288958252,0.7031867983939261
2_3_0,2_3_0\synth.csv,2_3_0\train.csv,2_3_0\val.csv,2_3_0\test.csv,0.5900216919739696,0.6134453781512605,0.0608378520660665,0.01935914991753445,1.1541222824075879,0.6496217262511124,0.6962492314693299,0.40556805917456157,0.5142310533025557,0.7161226208492101,0.6885014214149516
2_4_0,2_4_0\synth.csv,2_4_0\train.csv,2_4_0\val.csv,2_4_0\test.csv,0.5855855855855856,0.6612244897959185,0.04666629888802129,0.020526042677294486,1.0526377055678946,0.6220400613271011,0.6864149949618855,0.39968857645640016,0.5212078162604378,0.7617862364135782,0.687474258648418
3_0_0,3_0_0\synth.csv,3_0_0\train.csv,3_0_0\val.csv,3_0_0\test.csv,0.5807860262008733,0.6454183266932271,0.06083136347719413,0.018811230896579836,1.4627432172979842,0.6129721088871236,0.7016581279095978,0.398074352757757,0.5208718334592021,0.6664220056202308,0.709052453166182
3_1_0,3_1_0\synth.csv,3_1_0\train.csv,3_1_0\val.csv,3_1_0\test.csv,0.5282167042889392,0.59765625,0.03992898656167247,0.02025967085829916,1.280133410866673,0.6264488694397724,0.6972491876889598,0.401289244802445,0.5217034059483369,0.7009354506407665,0.6900316360094312
3_2_0,3_2_0\synth.csv,3_2_0\train.csv,3_2_0\val.csv,3_2_0\test.csv,0.6538461538461537,0.5750528541226215,0.023265892739454577,0.022216333873949404,1.4152342496008103,0.6178855076084642,0.7035093392109137,0.39128831715651513,0.4975364194359013,0.6819533153608411,0.6796680109486293
3_3_0,3_3_0\synth.csv,3_3_0\train.csv,3_3_0\val.csv,3_3_0\test.csv,0.6008403361344539,0.6134453781512605,0.023597716089489094,0.017174170396732295,1.1225112472411456,0.6170685914399391,0.7027233169875295,0.40556805917456157,0.5142310533025557,0.7186150962770109,0.6816464611466004
